step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,success_rate,collision_rate,action_alignment,path_length,loss_objective,loss_critic,loss_entropy
2048,-0.309203565120697,-0.0007066686521284282,-0.001708984375,0.0,0.0,0.0,0.001708984375,0.0234566330909729,0.8549503087997437,-0.007559374440461397,0.022594157606363297,-0.013111424632370472
4096,-0.8798384666442871,0.00533329276368022,-0.01220703125,0.0015315787168219686,0.023618327637050737,0.0,0.01220703125,0.06484703719615936,0.8447824120521545,-0.008435596711933613,0.09897895902395248,-0.013093121349811554
6144,-0.6033293008804321,0.009934928268194199,-0.0146484375,0.002812665654346347,0.02,0.0,0.0146484375,0.14063327014446259,0.8369883894920349,-0.0019081123173236847,0.1355224847793579,-0.012964218854904175
8192,-0.08245965838432312,0.008633128367364407,-0.00927734375,0.0033252104185521603,0.02,0.0,0.00927734375,0.16626054048538208,0.8440974950790405,0.005954775959253311,0.07645659148693085,-0.012715410441160202
10240,1.051617980003357,0.009924748912453651,-0.001708984375,0.004011623561382294,0.02,0.0,0.001708984375,0.20058120787143707,0.8487836122512817,-0.010858668014407158,0.02850140444934368,-0.012229233048856258
