step,communication_cost,communication_ratio,sparse_edges,full_graph_edges
2048,96.04296875,0.40017903645833336,96.04296875,240.0
4096,97.8017578125,0.40750732421875,97.8017578125,240.0
6144,86.2236328125,0.35926513671875,86.2236328125,240.0
8192,85.1318359375,0.3547159830729167,85.1318359375,240.0
10240,91.1552734375,0.3798136393229167,91.1552734375,240.0
12288,84.984375,0.3541015625,84.984375,240.0
14336,93.1884765625,0.3882853190104167,93.1884765625,240.0
16384,93.3193359375,0.38883056640625,93.3193359375,240.0
18432,98.2294921875,0.40928955078125,98.2294921875,240.0
20480,104.92578125,0.43719075520833334,104.92578125,240.0
22528,119.3349609375,0.49722900390625,119.3349609375,240.0
24576,117.615234375,0.4900634765625,117.615234375,240.0
26624,117.7001953125,0.49041748046875,117.7001953125,240.0
28672,121.849609375,0.5077067057291667,121.849609375,240.0
30720,137.609375,0.5733723958333333,137.609375,240.0
32768,128.755859375,0.5364827473958333,128.755859375,240.0
34816,139.20703125,0.580029296875,139.20703125,240.0
36864,132.2705078125,0.5511271158854166,132.2705078125,240.0
38912,134.19921875,0.5591634114583334,134.19921875,240.0
40960,135.12109375,0.5630045572916667,135.12109375,240.0
43008,132.8515625,0.5535481770833334,132.8515625,240.0
45056,135.8349609375,0.56597900390625,135.8349609375,240.0
47104,142.8173828125,0.5950724283854166,142.8173828125,240.0
49152,143.1005859375,0.59625244140625,143.1005859375,240.0
51200,142.150390625,0.5922932942708333,142.150390625,240.0
53248,149.009765625,0.6208740234375,149.009765625,240.0
55296,137.05859375,0.5710774739583333,137.05859375,240.0
57344,146.5185546875,0.6104939778645834,146.5185546875,240.0
59392,148.1162109375,0.61715087890625,148.1162109375,240.0
61440,141.9111328125,0.59129638671875,141.9111328125,240.0
63488,151.353515625,0.6306396484375,151.353515625,240.0
65536,152.53515625,0.6355631510416667,152.53515625,240.0
67584,145.734375,0.6072265625,145.734375,240.0
69632,152.6689453125,0.63612060546875,152.6689453125,240.0
71680,154.9228515625,0.6455118815104167,154.9228515625,240.0
73728,148.6728515625,0.61947021484375,148.6728515625,240.0
75776,152.0830078125,0.63367919921875,152.0830078125,240.0
77824,148.1796875,0.6174153645833333,148.1796875,240.0
79872,144.9052734375,0.60377197265625,144.9052734375,240.0
81920,151.5439453125,0.63143310546875,151.5439453125,240.0
83968,153.224609375,0.6384358723958333,153.224609375,240.0
86016,148.0859375,0.6170247395833334,148.0859375,240.0
88064,142.91796875,0.5954915364583333,142.91796875,240.0
90112,150.20703125,0.6258626302083333,150.20703125,240.0
92160,148.103515625,0.6170979817708333,148.103515625,240.0
94208,138.3798828125,0.5765828450520833,138.3798828125,240.0
96256,139.3896484375,0.5807902018229166,139.3896484375,240.0
98304,141.2021484375,0.58834228515625,141.2021484375,240.0
100352,140.2607421875,0.5844197591145833,140.2607421875,240.0
102400,135.5068359375,0.56461181640625,135.5068359375,240.0
