step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,loss_objective,loss_critic,loss_entropy
2048,-3.525895595550537,-0.02437223121523857,-0.003173828125,-0.009883115999400616,0.1,0.1,0.0,0.003173828125,-0.0988311618566513,0.8858160376548767,0.00015189358964562416,0.05036308616399765,-0.01157611608505249
4096,-2.9736008644104004,-0.01322148833423853,-0.010009765625,-0.006113701965659857,0.1,0.2,0.0,0.010009765625,-0.06113702058792114,0.8724206686019897,-0.007082351483404636,0.11026449501514435,-0.01216790359467268
6144,-2.046865701675415,-0.006225514225661755,-0.009765625,-0.015718504786491394,0.1,0.3,0.0,0.009765625,-0.15718503296375275,0.8600550889968872,-0.0029882811941206455,0.11539394408464432,-0.012474601157009602
8192,-0.8832862377166748,-0.005924111697822809,-0.0009765625,-0.010642269626259804,0.1,0.4,0.0,0.0009765625,-0.10642269253730774,0.8553635478019714,-0.006764199584722519,0.03182484954595566,-0.012510872446000576
10240,-0.6200253963470459,-0.0009376994566991925,-0.00390625,-0.015866125002503395,0.1,0.5,0.0,0.00390625,-0.15866124629974365,0.8539851903915405,-0.005658663343638182,0.06082363799214363,-0.012715328484773636
12288,-0.79634028673172,0.000614530174061656,-0.0068359375,-0.014079286716878414,0.1,0.6,0.0,0.0068359375,-0.1407928764820099,0.8421131372451782,-0.0062995534390211105,0.08923012763261795,-0.012849009595811367
14336,-0.32601022720336914,0.008195232599973679,-0.0107421875,-0.013900941237807274,0.1,0.7,0.0,0.0107421875,-0.13900941610336304,0.836664080619812,-0.007074426859617233,0.11546942591667175,-0.012714073993265629
16384,0.5119398832321167,0.009858906269073486,-0.005859375,-0.011578621342778206,0.1,0.8,0.0,0.005859375,-0.11578621715307236,0.8394538760185242,-0.004440059885382652,0.06852689385414124,-0.012851323932409286
18432,0.5970751047134399,0.013453712686896324,-0.0087890625,-0.00705355778336525,0.1,0.9,0.0,0.0087890625,-0.0705355778336525,0.8361267447471619,-0.00246683182194829,0.06773611158132553,-0.012698149308562279
20480,1.5411288738250732,0.018387727439403534,-0.00634765625,-0.007688933052122593,0.1,1.0,0.0,0.00634765625,-0.07688933610916138,0.8281123638153076,-0.006862613372504711,0.07409188151359558,-0.012823177501559258
