step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy,lambda_comm,lambda_u,lambda_rank,utility_warmup_steps,utility_mean,utility_std,gate_mass,utility_corr,comm_precision,cud,utility_loss
2048,-10.822641372680664,-0.036883432418107986,-0.04766845703125,-0.018811361864209175,0.1,0.1,0.0,0.04705810546875,-0.18811361491680145,0.8925177454948425,16.583759307861328,240.0,0.06909899711608887,0.00031111203134059906,0.5163400769233704,-0.011768349446356297,0.0,0.5,0.1,20000.0,0.3534674346446991,0.02274997904896736,15.919690132141113,0.7325732111930847,0.0,0.024413365870714188,0.10498300939798355
4096,-10.713043212890625,-0.03334164246916771,-0.05035400390625,-0.01461007446050644,0.1,0.2,0.0,0.049530029296875,-0.1461007446050644,0.8878533840179443,15.965352058410645,240.0,0.06652230024337769,-0.0015197312459349632,0.6327977180480957,-0.012197567149996758,0.0,0.5,0.1,20000.0,0.11217119544744492,0.03694818541407585,17.233652114868164,0.05389982834458351,0.0,0.0374264121055603,0.007953530177474022
6144,-9.287578582763672,-0.03648742288351059,-0.03607177734375,-0.0077634528279304504,0.1,0.3,0.0,0.03558349609375,-0.0776345282793045,0.8807665705680847,13.270780563354492,240.0,0.055294919013977054,-0.0014840811491012573,0.5448317527770996,-0.012481611222028732,0.0,0.5,0.1,20000.0,0.04525769501924515,0.024026472121477127,11.093612670898438,-0.22451020777225494,0.4256756901741028,0.27085599303245544,0.046986352652311325
8192,-7.117310523986816,-0.031739242374897,-0.02386474609375,-0.007617568597197533,0.1,0.4,0.0,0.023712158203125,-0.07617568969726562,0.8711293935775757,12.172698974609375,240.0,0.0507195790608724,-0.002952354960143566,0.42325180768966675,-0.012592022307217121,0.0,0.5,0.1,20000.0,0.07286257296800613,0.03076942265033722,9.994000434875488,0.17418253421783447,0.05000000074505806,0.1610948145389557,0.013647230342030525
10240,-6.801179885864258,-0.033786073327064514,-0.01934814453125,-0.0018647644901648164,0.1,0.5,0.0,0.01910400390625,-0.01864764466881752,0.8702538013458252,11.833505630493164,240.0,0.049306273460388184,-0.0026061423122882843,0.3574311435222626,-0.012678132392466068,0.0,0.5,0.1,20000.0,0.12809205055236816,0.03667300194501877,8.406389236450195,-0.46982094645500183,0.2857142984867096,0.23548004031181335,0.030669130384922028
12288,-4.600362777709961,-0.02330605685710907,-0.01263427734375,-0.002891021315008402,0.1,0.6,0.0,0.012603759765625,-0.028910214081406593,0.863832950592041,11.042055130004883,240.0,0.04600856304168701,-0.003282745834439993,0.24248909950256348,-0.012746235355734825,0.0,0.5,0.1,20000.0,0.16845236718654633,0.01744559407234192,11.178709030151367,-0.015480066649615765,0.578125,0.29196420311927795,0.03827527165412903
14336,-3.7252607345581055,-0.013722740113735199,-0.015380859375,-0.004385046660900116,0.1,0.7,0.0,0.01531982421875,-0.04385046660900116,0.8577101230621338,12.553106307983398,240.0,0.05230460961659749,-0.004953182302415371,0.22865325212478638,-0.012797928415238857,0.0,0.5,0.1,20000.0,0.15964041650295258,0.03964242339134216,12.640984535217285,0.5340989828109741,0.5121951103210449,0.23691990971565247,0.036574847996234894
16384,-1.5036946535110474,-0.0005781810032203794,-0.01116943359375,-0.005941721610724926,0.1,0.8,0.0,0.01116943359375,-0.05941721424460411,0.8510906100273132,13.0914306640625,240.0,0.054547627766927086,-0.003613719716668129,0.14012712240219116,-0.012875399552285671,0.0,0.5,0.1,20000.0,0.16401927173137665,0.0445253886282444,13.776711463928223,0.27776655554771423,0.23863635957241058,0.22037002444267273,0.026869382709264755
18432,-1.350602626800537,0.0023878710344433784,-0.012939453125,-0.005019130185246468,0.1,0.9,0.0,0.012908935546875,-0.050191305577754974,0.8458471298217773,14.06352424621582,240.0,0.05859801769256592,-0.003637496381998062,0.16567006707191467,-0.012877020984888077,0.0,0.5,0.1,20000.0,0.16434434056282043,0.0442739762365818,12.262105941772461,0.40399467945098877,0.20930232107639313,0.17324970662593842,0.018296904861927032
20480,-0.003000497817993164,0.008765622042119503,-0.0087890625,-0.005826092325150967,0.1,1.0,0.0,0.0086669921875,-0.058260925114154816,0.8426996469497681,10.492347717285156,240.0,0.043718115488688154,-0.002513691782951355,0.12138395011425018,-0.012881923466920853,5e-05,0.5,0.1,20000.0,0.1514972448348999,0.03281622380018234,9.615100860595703,0.14632876217365265,0.0,0.16635635495185852,0.014489272609353065
22528,0.6663153171539307,0.010759787634015083,-0.00555419921875,-0.002216767054051161,0.1,0.9277434863285529,0.0,0.005523681640625,-0.022167669609189034,0.8384004235267639,5.244825839996338,240.0,0.021853440999984743,-0.0032719792798161507,0.0782264843583107,-0.012924065813422203,5e-05,0.5,0.1,20000.0,0.16622644662857056,0.023402027785778046,6.098238468170166,0.07196804136037827,0.0,0.17802783846855164,0.013681908138096333
24576,0.9113295674324036,0.009439097717404366,-0.0023193359375,-0.0037742932327091694,0.1,0.8607079764250578,0.0,0.0023193359375,-0.03774292767047882,0.8391973972320557,3.0210211277008057,240.0,0.01258758803208669,-0.001963263377547264,0.044101886451244354,-0.012903707101941109,5e-05,0.5,0.1,20000.0,0.17948508262634277,0.037836939096450806,2.916121482849121,0.2861567437648773,0.0,0.1896071583032608,0.013056476600468159
26624,2.4603304862976074,0.02556898631155491,-0.00634765625,-0.0032941116951406,0.1,0.7985162187593771,0.0,0.00628662109375,-0.03294111415743828,0.8357429504394531,2.33770751953125,240.0,0.009740447998046875,-0.0028588902205228806,0.08826117217540741,-0.012970513664186,5e-05,0.5,0.1,20000.0,0.21638144552707672,0.04324520006775856,2.6846237182617188,0.2535698413848877,0.0,0.2471853345632553,0.01589905098080635
28672,2.471980333328247,0.02297445386648178,-0.003662109375,-0.0019909623079001904,0.1,0.7408182206817179,0.0,0.003662109375,-0.019909624010324478,0.8307265639305115,1.8504400253295898,240.0,0.007710166772206624,-0.0028364919126033783,0.06373181939125061,-0.01285206712782383,5e-05,0.5,0.1,20000.0,0.24809670448303223,0.04971638321876526,1.792893886566162,0.3306165337562561,0.0,0.21657902002334595,0.020349010825157166
30720,4.626798629760742,0.0387103408575058,-0.0025634765625,-0.0026657020207494497,0.1,0.6872892787909722,0.0,0.0025634765625,-0.026657018810510635,0.8245216608047485,1.4964218139648438,240.0,0.006235090891520182,-0.0031335828825831413,0.08454371988773346,-0.012864234857261181,5e-05,0.5,0.1,20000.0,0.20896847546100616,0.027072617784142494,1.586970329284668,0.186443030834198,0.0,0.2084067463874817,0.013946950435638428
32768,4.572972297668457,0.04115847498178482,-0.00543212890625,-0.0028675959911197424,0.1,0.6376281516217733,0.0,0.00543212890625,-0.028675958514213562,0.8110899925231934,1.459723711013794,240.0,0.006082182129224141,-0.003285306505858898,0.1496521234512329,-0.01288024615496397,5e-05,0.5,0.1,20000.0,0.27634692192077637,0.03699733689427376,1.478351354598999,0.2643263041973114,0.0,0.2690764367580414,0.02652462013065815
34816,4.578619956970215,0.0418129488825798,-0.00604248046875,-0.0014658225700259209,0.1,0.5915553643668151,0.0,0.0059814453125,-0.014658226631581783,0.8070331811904907,1.2390961647033691,240.0,0.005162900686264038,-0.002203298732638359,0.138563334941864,-0.012860551476478577,5e-05,0.5,0.1,20000.0,0.30546844005584717,0.04553459957242012,1.2615841627120972,-0.01713562197983265,0.0,0.3057340681552887,0.02869803085923195
