step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy,lambda_comm,lambda_u,lambda_rank,utility_warmup_steps,utility_mean,utility_std,gate_mass,utility_corr,utility_loss
2048,-1.0384328365325928,-0.006892053410410881,-0.001220703125,-0.0045035164803266525,0.1,0.5,0.0,0.001220703125,-0.045035164803266525,0.8604239821434021,0.5820456743240356,12.0,0.04850380619366964,-0.008545920252799988,0.019353415817022324,-0.012784762308001518,0.0,0.5,0.1,5000.0,0.378724068403244,0.014860446564853191,0.5947211980819702,0.013813802041113377,0.10558818280696869
4096,-2.242980718612671,-0.00043344334699213505,-0.01708984375,-0.0023049279116094112,0.1,1.0,0.0,0.016845703125,-0.023049280047416687,0.8601634502410889,0.9281929731369019,12.0,0.07734941442807515,-0.004598808474838734,0.20933762192726135,-0.013027040287852287,0.0,0.5,0.1,5000.0,0.1310378611087799,0.028622454032301903,1.2077572345733643,0.26618853211402893,0.008463971316814423
6144,-0.4542864263057709,0.0023102627601474524,-0.005859375,-0.0013330492656677961,0.1,0.6872892787909722,0.0,0.005859375,-0.013330492191016674,0.8546895980834961,0.7930656671524048,12.0,0.06608880559603374,-0.004835160449147224,0.05458545312285423,-0.013056710362434387,1e-05,0.5,0.1,5000.0,0.03197968006134033,0.01915009878575802,0.8603242039680481,-0.4661000072956085,0.0010231605265289545
8192,-0.8763784170150757,0.005116185173392296,-0.011962890625,-0.002943672938272357,0.1,0.4723665527410147,0.0,0.011962890625,-0.029436727985739708,0.838849663734436,1.0336942672729492,12.0,0.08614118893941243,-0.0029439423233270645,0.12223520129919052,-0.013150589540600777,1e-05,0.5,0.1,5000.0,0.015912266448140144,0.007470850367099047,1.4222675561904907,-0.2499043047428131,0.007395011838525534
10240,0.747831404209137,0.009016260504722595,-0.003173828125,9.619240881875157e-05,0.1,0.32465246735834974,0.0,0.003173828125,0.0009619237389415503,0.8357399106025696,0.6671136021614075,12.0,0.05559280018011729,-0.009798385202884674,0.048030927777290344,-0.012723380699753761,1e-05,0.5,0.1,5000.0,0.0184354018419981,0.0052610235288739204,0.8330318927764893,-0.20564310252666473,0.0024135166313499212
12288,0.40872472524642944,0.008075974881649017,-0.0048828125,-0.0013344314647838473,0.1,0.22313016014842982,0.0,0.0048828125,-0.013344314880669117,0.8315609693527222,0.5902840495109558,12.0,0.049190337459246315,-0.0038713952526450157,0.053190700709819794,-0.013056915253400803,1e-05,0.5,0.1,5000.0,0.019560692831873894,0.004481032025068998,0.4875662624835968,-0.1275361329317093,0.0023916137870401144
14336,-0.5757317543029785,0.01576576754450798,-0.020263671875,-0.0039383647963404655,0.1,0.15335496684492847,0.0,0.0201416015625,-0.039383646100759506,0.8324777483940125,0.8010948896408081,12.0,0.06675790747006734,-0.001459646038711071,0.19597913324832916,-0.01295425370335579,1e-05,0.5,0.1,5000.0,0.018749350681900978,0.004315364174544811,0.7665888071060181,0.12951189279556274,0.00326744606718421
16384,-0.5794637203216553,0.015492472797632217,-0.02001953125,-0.00765842804685235,0.1,0.10539922456186433,0.0,0.0198974609375,-0.07658427208662033,0.8243978023529053,0.7168842554092407,12.0,0.05974035461743673,-0.005585943348705769,0.2302185297012329,-0.01294487714767456,1e-05,0.5,0.1,5000.0,0.020185621455311775,0.0029948893934488297,0.8317599296569824,0.08018933981657028,0.0014893589541316032
18432,0.4771501421928406,0.014958204701542854,-0.01123046875,-0.00492485798895359,0.1,0.07243975703425146,0.0,0.0111083984375,-0.049248579889535904,0.8168472051620483,0.5744389295578003,12.0,0.04786991079648336,-0.0046417005360126495,0.13289278745651245,-0.01282011903822422,1e-05,0.5,0.1,5000.0,0.024656254798173904,0.00620269076898694,0.43550926446914673,0.08937390893697739,0.0006115842843428254
20480,-0.6975096464157104,0.015058516524732113,-0.0205078125,-0.00228187651373446,0.1,0.049787068367863944,0.0,0.02001953125,-0.022818762809038162,0.8141273856163025,0.597899317741394,12.0,0.04982494314511617,-0.00023017637431621552,0.22709119319915771,-0.013064529746770859,1e-05,0.5,0.1,5000.0,0.021958127617836,0.004311749245971441,0.6079750657081604,-0.10552993416786194,0.0002853925107046962
