step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy,lambda_comm,lambda_u,lambda_rank,utility_warmup_steps,utility_mean,utility_std,gate_mass,utility_corr,comm_precision,cud,utility_loss
2048,-6.850503921508789,-0.014701200649142265,-0.038818359375,0.002841972978785634,0.1,0.1,0.0,0.038482666015625,0.028419729322195053,0.859653651714325,13.579862594604492,240.0,0.05658276081085205,-0.0015972037799656391,0.40328726172447205,-0.012951298616826534,0.0,0.5,0.1,20000.0,0.37021923065185547,0.011106057092547417,12.811954498291016,0.006865315139293671,0.06896551698446274,0.1092723086476326,0.09933781623840332
4096,-5.6834259033203125,-0.0068651423789560795,-0.03753662109375,0.0006641928339377046,0.1,0.2,0.0,0.03729248046875,0.006641928572207689,0.8579927086830139,13.759345054626465,240.0,0.05733060439427694,-0.0037522222846746445,0.3417392075061798,-0.013141319155693054,0.0,0.5,0.1,20000.0,0.1853196620941162,0.032200779765844345,15.382872581481934,0.31294694542884827,0.4107142984867096,0.22391358017921448,0.04680393636226654
6144,-3.755864143371582,-0.008224524557590485,-0.0211181640625,0.0009149287361651659,0.1,0.3,0.0,0.021087646484375,0.009149286895990372,0.8536415100097656,9.897309303283691,240.0,0.04123878876368205,-0.003494427539408207,0.21947228908538818,-0.013043254613876343,0.0,0.5,0.1,20000.0,0.11790432780981064,0.03078092634677887,9.09755802154541,0.4770413339138031,0.1607142835855484,0.1497664600610733,0.0187486931681633
8192,-2.5792579650878906,0.0015780613757669926,-0.021728515625,-0.0007191189797595143,0.1,0.4,0.0,0.021575927734375,-0.007191190961748362,0.848770797252655,11.087851524353027,240.0,0.04619938135147095,-0.004936368204653263,0.22526951134204865,-0.01316870003938675,0.0,0.5,0.1,20000.0,0.13148589432239532,0.03970876336097717,10.626516342163086,0.17286957800388336,0.17073170840740204,0.14480797946453094,0.019891709089279175
10240,-3.54457688331604,-0.012799430638551712,-0.014892578125,-0.0013042960781604052,0.1,0.5,0.0,0.014801025390625,-0.013042960315942764,0.8404051661491394,11.134718894958496,240.0,0.04639466206232707,-0.004527093842625618,0.16884687542915344,-0.013179582543671131,0.0,0.5,0.1,20000.0,0.1616659164428711,0.042765259742736816,7.779655456542969,0.29184046387672424,0.3787878751754761,0.23154211044311523,0.025549914687871933
12288,-2.276503562927246,-0.0064936792477965355,-0.01129150390625,0.002648585010319948,0.1,0.6,0.0,0.01129150390625,0.026485851034522057,0.8352763056755066,9.98414421081543,240.0,0.04160060087839763,-0.0028623584657907486,0.12464874982833862,-0.013165468350052834,0.0,0.5,0.1,20000.0,0.18092910945415497,0.056221041828393936,7.437014102935791,0.437703937292099,0.2978723347187042,0.2527627646923065,0.031982555985450745
14336,-1.8954997062683105,-0.008827146142721176,-0.0059814453125,0.003232607850804925,0.1,0.7,0.0,0.0059814453125,0.03232607617974281,0.8309630751609802,7.742187023162842,240.0,0.03225911259651184,-0.0032374467700719833,0.07382093369960785,-0.013200622983276844,0.0,0.5,0.1,20000.0,0.19560420513153076,0.04158275946974754,6.248027801513672,0.33344221115112305,0.40740740299224854,0.2339990884065628,0.04110391065478325
16384,-0.18904009461402893,0.0024293744936585426,-0.00390625,0.004423188511282206,0.1,0.8,0.0,0.00390625,0.04423188418149948,0.8275372982025146,9.54623794555664,240.0,0.03977599143981934,-0.004612504504621029,0.055748917162418365,-0.013128627091646194,0.0,0.5,0.1,20000.0,0.20882602035999298,0.04339628666639328,7.9756669998168945,0.43758758902549744,0.53125,0.2704555094242096,0.03571915626525879
18432,1.3679251670837402,0.01477627083659172,-0.00408935546875,0.0040097348392009735,0.1,0.9,0.0,0.00408935546875,0.040097348392009735,0.820236086845398,10.509428024291992,240.0,0.04378928343454997,-0.003994587808847427,0.057259976863861084,-0.013089574873447418,0.0,0.5,0.1,20000.0,0.1935582309961319,0.04554073140025139,9.577934265136719,0.1831129789352417,0.23333333432674408,0.25922051072120667,0.024393273517489433
20480,2.0100319385528564,0.019975833594799042,-0.0042724609375,0.006318419706076384,0.1,1.0,0.0,0.0042724609375,0.06318419426679611,0.8168154954910278,7.766873359680176,240.0,0.032361972332000735,-0.002786438912153244,0.06999269872903824,-0.013078377582132816,5e-05,0.5,0.1,20000.0,0.19089160859584808,0.04495461285114288,6.135923385620117,0.4745791554450989,0.0,0.1800709068775177,0.014959385618567467
22528,2.0275049209594727,0.02114993892610073,-0.00531005859375,0.005180228501558304,0.1,0.9277434863285529,0.0,0.005279541015625,0.05180228129029274,0.8127279281616211,5.690284252166748,240.0,0.02370951771736145,-0.0024026157334446907,0.08496986329555511,-0.012959053739905357,5e-05,0.5,0.1,20000.0,0.17251265048980713,0.03860083222389221,4.422167778015137,0.2072262465953827,0.0,0.19722871482372284,0.021499590948224068
24576,3.289944887161255,0.028022034093737602,-0.0023193359375,0.00565088726580143,0.1,0.8607079764250578,0.0,0.0023193359375,0.056508868932724,0.8094198703765869,4.63150691986084,240.0,0.019297945499420165,-0.0013956688344478607,0.07227648049592972,-0.01287167053669691,5e-05,0.5,0.1,20000.0,0.18591761589050293,0.042558152228593826,4.586533546447754,0.19025710225105286,0.0,0.2634112238883972,0.027072977274656296
26624,3.917649030685425,0.03426874428987503,-0.003662109375,0.007177346386015415,0.1,0.7985162187593771,0.0,0.003570556640625,0.0717734694480896,0.8031458854675293,3.5684964656829834,240.0,0.014868735273679098,-0.0032163793221116066,0.09117838740348816,-0.012893153354525566,5e-05,0.5,0.1,20000.0,0.2650049030780792,0.038941651582717896,3.3078341484069824,0.23905353248119354,0.0,0.2742011547088623,0.0383627787232399
28672,4.619207382202148,0.041885897517204285,-0.00579833984375,0.006530951242893934,0.1,0.7408182206817179,0.0,0.005767822265625,0.06530950963497162,0.7993026375770569,2.452000856399536,240.0,0.010216670234998067,-0.0022384561598300934,0.12625570595264435,-0.012797024101018906,5e-05,0.5,0.1,20000.0,0.22346574068069458,0.04173998534679413,2.484860420227051,0.2447337508201599,0.0,0.27894681692123413,0.038813598453998566
