step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,success_rate,collision_rate,action_alignment,path_length,loss_objective,loss_critic,loss_entropy
2048,-0.9993622899055481,-0.004633690230548382,-0.003173828125,0.0,0.0,0.0,0.003173828125,0.0022802292369306087,0.86162269115448,-0.005260046571493149,0.02850303053855896,-0.012867551296949387
4096,-0.5904630422592163,0.0014905220596119761,-0.006103515625,0.0,0.0,0.0,0.006103515625,-0.012815238907933235,0.8626089096069336,-0.0045019155368208885,0.057791583240032196,-0.012993303127586842
6144,-0.7517251372337341,0.010484566912055016,-0.016357421875,0.0,0.0,0.0,0.016357421875,0.004162428434938192,0.8446532487869263,-0.004574693739414215,0.18534216284751892,-0.013098614290356636
8192,-0.7008296847343445,0.008929064497351646,-0.014404296875,0.00028029285022057593,0.019258739230786383,0.0,0.014404296875,0.014554060064256191,0.8490573167800903,-0.004156932234764099,0.11936894804239273,-0.012914573773741722
10240,0.4413944482803345,0.009551909752190113,-0.006103515625,0.0002369694848312065,0.012489632839090548,0.0,0.006103515625,0.018973294645547867,0.846683144569397,-0.007096410728991032,0.06260731816291809,-0.012760240584611893
12288,1.2106144428253174,0.013364174403250217,-0.00390625,0.00037485605571419,0.007900062538111041,0.0,0.00390625,0.0474497526884079,0.8350114822387695,-0.0010267840698361397,0.033391073346138,-0.012615421786904335
14336,1.45662260055542,0.014309553429484367,-0.0029296875,0.00010705132444854826,0.00529350843957622,0.0,0.0029296875,0.020223133265972137,0.8257216215133667,-0.0032695718109607697,0.03908509388566017,-0.012675932608544827
16384,0.7197856903076172,0.01441238820552826,-0.0087890625,0.00013301282888278365,0.004863246884196997,0.0,0.0087890625,0.027350623160600662,0.830643355846405,-0.006547624245285988,0.06842277944087982,-0.012860944494605064
18432,0.5232906937599182,0.014586254954338074,-0.010498046875,0.0001053756132023409,0.004892304725944996,0.0,0.010498046875,0.021539054811000824,0.8211631178855896,-0.0032690363004803658,0.11914859712123871,-0.012687258422374725
20480,1.0476975440979004,0.015509353950619698,-0.00732421875,4.7931302106007934e-05,0.004951600190252065,0.0,0.0072021484375,0.009679961949586868,0.8184646368026733,-0.0011927485466003418,0.09231683611869812,-0.012855266220867634
