step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy
2048,-7.824367523193359,-0.02822992391884327,-0.03289794921875,0.0009190284181386232,0.1,0.1,0.0,0.03253173828125,0.00919028464704752,0.8518438935279846,25.5419921875,240.0,0.10642496744791667,-0.0007999995723366737,0.36601483821868896,-0.013114826753735542
4096,-5.2399444580078125,-0.01182329747825861,-0.02911376953125,-0.0031321700662374496,0.1,0.2,0.0,0.028900146484375,-0.031321700662374496,0.845576822757721,25.3037109375,240.0,0.10543212890625,-0.0027325917035341263,0.3202216625213623,-0.013209974393248558
6144,-3.3888566493988037,-0.005357278976589441,-0.0211181640625,0.0007576532661914825,0.1,0.3,0.0,0.020904541015625,0.0075765326619148254,0.8431555032730103,23.62890625,240.0,0.09845377604166666,-0.002986920066177845,0.2193593531847,-0.01324201375246048
8192,-2.622319459915161,-0.005899468902498484,-0.01458740234375,-0.0007965494878590107,0.1,0.4,0.0,0.014434814453125,-0.007965493947267532,0.8380319476127625,21.90625,240.0,0.09127604166666667,-0.0038430877029895782,0.1482350379228592,-0.01337510161101818
10240,-1.5555832386016846,0.0013968106359243393,-0.0135498046875,-0.004217456094920635,0.1,0.5,0.0,0.013397216796875,-0.0421745628118515,0.8323999643325806,23.388671875,240.0,0.09745279947916667,-0.001831001602113247,0.13986897468566895,-0.013307811692357063
12288,-1.5638854503631592,-0.00043806893518194556,-0.01177978515625,-0.0039582764729857445,0.1,0.6,0.0,0.011749267578125,-0.039582766592502594,0.8245247602462769,23.3505859375,240.0,0.09729410807291666,-0.0022574327886104584,0.12073111534118652,-0.013383254408836365
14336,0.18338048458099365,0.007230999879539013,-0.00579833984375,-0.004473952576518059,0.1,0.7,0.0,0.0057373046875,-0.044739529490470886,0.8179405927658081,23.6123046875,240.0,0.09838460286458334,-0.0034445952624082565,0.070599265396595,-0.013271301984786987
16384,1.355291485786438,0.016508623957633972,-0.00592041015625,-0.004649270325899124,0.1,0.8,0.0,0.00592041015625,-0.04649270325899124,0.8158361315727234,26.30078125,240.0,0.10958658854166667,-0.0035528913140296936,0.0679231509566307,-0.013234300538897514
18432,2.424255609512329,0.024005413055419922,-0.00506591796875,-0.006266786716878414,0.1,0.9,0.0,0.005035400390625,-0.06266787648200989,0.8167364597320557,29.94921875,240.0,0.12478841145833333,-0.003349659964442253,0.06322479248046875,-0.01320169772952795
20480,2.701754093170166,0.024281281977891922,-0.003173828125,-0.0069205136969685555,0.1,1.0,0.0,0.003173828125,-0.0692051351070404,0.8157526850700378,32.072265625,240.0,0.13363444010416667,-0.004153364337980747,0.04599766060709953,-0.013221092522144318
22528,3.3796629905700684,0.03092021867632866,-0.0045166015625,-0.006841674447059631,0.1,0.9277434863285529,0.0,0.00445556640625,-0.06841674447059631,0.8150689005851746,36.96484375,240.0,0.15402018229166667,-0.001121005043387413,0.08249029517173767,-0.013020054437220097
