step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,success_rate,collision_rate,action_alignment,path_length,loss_objective,loss_critic,loss_entropy
2048,-0.309203565120697,-0.0007066686521284282,-0.001708984375,0.0,0.0,0.0,0.001708984375,0.0234566330909729,0.8549503087997437,-0.007559374440461397,0.022594157606363297,-0.013111424632370472
4096,-0.8798384666442871,0.00533329276368022,-0.01220703125,0.0,0.0,0.0,0.01220703125,0.06484703719615936,0.8447824120521545,-0.004923574160784483,0.09700699895620346,-0.013195440173149109
6144,-0.6902166604995728,0.009988539852201939,-0.015380859375,0.0,0.0,0.0,0.015380859375,0.11495040357112885,0.8360764980316162,-0.003770921379327774,0.15486302971839905,-0.013090754859149456
8192,-0.8182569742202759,0.009720650501549244,-0.01611328125,0.001354491920210421,0.011493336791912051,0.0,0.0159912109375,0.11785019189119339,0.8458075523376465,-0.0015683751553297043,0.13568855822086334,-0.012836476787924767
10240,0.9665717482566833,0.011457590386271477,-0.00390625,0.0010675267549231648,0.007235156787510326,0.0,0.00390625,0.1475471556186676,0.8545687198638916,-0.01041463389992714,0.03224872052669525,-0.012514499016106129
12288,1.0534751415252686,0.015066212974488735,-0.0068359375,0.0007792009855620563,0.004590558671633394,0.0,0.0068359375,0.16973990201950073,0.8478922843933105,-0.002571309916675091,0.06973676383495331,-0.012597796507179737
14336,1.2572169303894043,0.01763450726866722,-0.0078125,0.0007852954440750182,0.004024310633540153,0.0,0.0078125,0.1951378732919693,0.8445208072662354,-0.006390641443431377,0.08564762771129608,-0.01239615399390459
16384,1.489414930343628,0.016274727880954742,-0.004638671875,0.000756021763663739,0.004071588814258576,0.0,0.004638671875,0.1856822371482849,0.8510405421257019,-0.007218028884381056,0.06123088300228119,-0.01238887570798397
18432,1.6669963598251343,0.018638642504811287,-0.005615234375,0.0007934169843792915,0.0040109317749738695,0.0,0.005615234375,0.19781364500522614,0.8467057943344116,-0.0015019718557596207,0.11572851985692978,-0.012264023534953594
20480,1.3732290267944336,0.018052570521831512,-0.00732421875,0.0007090935250744224,0.004144546240568161,0.0,0.00732421875,0.1710907518863678,0.8496097326278687,-0.0029923580586910248,0.09536293148994446,-0.012342369183897972
