step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy,lambda_comm,lambda_u,lambda_rank,utility_warmup_steps,utility_mean,utility_std,gate_mass,utility_corr,comm_precision,utility_loss
26624,2.5757336616516113,0.023479852825403214,-0.00335693359375,-0.007165812887251377,0.1,0.7985162187593771,0.0,0.00335693359375,-0.07165812700986862,0.8011306524276733,5.391911506652832,240.0,0.0224662979443868,-0.0033975206315517426,0.05172879248857498,-0.013257903046905994,5e-05,0.5,0.1,20000.0,0.13871406018733978,0.05603095144033432,5.2978835105896,0.4687119424343109,0.0,0.015156366862356663
28672,2.277822256088257,0.022617263719439507,-0.00482177734375,-0.005662001669406891,0.1,0.7408182206817179,0.0,0.004791259765625,-0.05662001669406891,0.7935352325439453,4.443902969360352,240.0,0.018516262372334797,-7.855473086237907e-06,0.07308546453714371,-0.013261244632303715,5e-05,0.5,0.1,20000.0,0.18804967403411865,0.05393495410680771,4.60905647277832,0.5030491948127747,0.0,0.01942175067961216
30720,2.8287816047668457,0.02704370766878128,-0.00494384765625,-0.005494400858879089,0.1,0.6872892787909722,0.0,0.00494384765625,-0.054944008588790894,0.7874161601066589,4.2448906898498535,240.0,0.017687044541041055,-0.0008741738274693489,0.07340870797634125,-0.013206737115979195,5e-05,0.5,0.1,20000.0,0.2206289917230606,0.06524820625782013,4.721879005432129,0.5013664364814758,0.0,0.020018532872200012
32768,3.757760763168335,0.030883386731147766,-0.00152587890625,-0.0058723194524645805,0.1,0.6376281516217733,0.0,0.00152587890625,-0.058723196387290955,0.7856240272521973,3.2135019302368164,240.0,0.013389591375986736,-0.0015742974355816841,0.05560975521802902,-0.013154936954379082,5e-05,0.5,0.1,20000.0,0.24908514320850372,0.08433588594198227,3.7714810371398926,0.6143959760665894,0.0,0.019753552973270416
34816,3.2099995613098145,0.027336426079273224,-0.00225830078125,-0.006335603538900614,0.1,0.5915553643668151,0.0,0.00225830078125,-0.06335603445768356,0.7840031981468201,3.0147974491119385,240.0,0.01256165603796641,-0.0015022903680801392,0.05976839363574982,-0.013166770339012146,5e-05,0.5,0.1,20000.0,0.2793043851852417,0.09456522762775421,2.9760055541992188,0.35876205563545227,0.0,0.02822447568178177
36864,4.439761638641357,0.037432216107845306,-0.00274658203125,-0.005669553764164448,0.1,0.5488116360940264,0.0,0.00274658203125,-0.05669553950428963,0.7827342748641968,2.7806971073150635,240.0,0.011586237947146099,-0.003709474578499794,0.10974229872226715,-0.013038091361522675,5e-05,0.5,0.1,20000.0,0.2829410433769226,0.09832888096570969,2.9608898162841797,0.5725652575492859,0.0,0.023402566090226173
38912,4.468161582946777,0.0393630787730217,-0.00445556640625,-0.006769591011106968,0.1,0.5091564206075492,0.0,0.00439453125,-0.06769590824842453,0.7769916653633118,2.370242118835449,240.0,0.009876008828481038,-0.00034131482243537903,0.1339653730392456,-0.013051465153694153,5e-05,0.5,0.1,20000.0,0.2788839638233185,0.11776091158390045,2.5144171714782715,0.6608926057815552,0.0,0.0227167010307312
40960,4.897981643676758,0.04198862612247467,-0.00372314453125,-0.005759872496128082,0.1,0.4723665527410147,0.0,0.00372314453125,-0.05759872496128082,0.7742035388946533,2.1386773586273193,240.0,0.008911155660947164,-0.0008622240275144577,0.10964630544185638,-0.012989372946321964,5e-05,0.5,0.1,20000.0,0.3442065119743347,0.11965148895978928,2.3581910133361816,0.5813783407211304,0.0,0.03244554251432419
43008,4.769397258758545,0.040861986577510834,-0.00360107421875,-0.007421446032822132,0.1,0.4382349924649492,0.0,0.00360107421875,-0.07421445846557617,0.7729848623275757,1.8588895797729492,240.0,0.007745373249053955,-0.00231124646961689,0.10602264106273651,-0.012995991855859756,5e-05,0.5,0.1,20000.0,0.3178809881210327,0.13776598870754242,2.0077288150787354,0.5980024337768555,0.0,0.028615962713956833
45056,5.424554824829102,0.04543108493089676,-0.0030517578125,-0.006868578959256411,0.1,0.40656965974059917,0.0,0.0030517578125,-0.06868579238653183,0.7671458721160889,1.6820251941680908,240.0,0.0070084383090337115,-0.001589648425579071,0.12929388880729675,-0.01293540745973587,5e-05,0.5,0.1,20000.0,0.34129372239112854,0.13742446899414062,1.8590376377105713,0.6051744222640991,0.0,0.029608098790049553
47104,4.949645519256592,0.04165983200073242,-0.00299072265625,-0.0069499267265200615,0.1,0.3771923535631569,0.0,0.00299072265625,-0.06949926912784576,0.7685613632202148,1.417252540588379,240.0,0.005905218919118245,-0.0012663714587688446,0.1175059974193573,-0.012955467216670513,5e-05,0.5,0.1,20000.0,0.34702014923095703,0.12760059535503387,1.4605236053466797,0.5812811851501465,0.0,0.04912477359175682
49152,5.258488655090332,0.04370645433664322,-0.00262451171875,-0.006748037412762642,0.1,0.34993774911115544,0.0,0.00262451171875,-0.06748037785291672,0.7627670764923096,1.3000030517578125,240.0,0.005416679382324219,-0.0011940496042370796,0.1696547567844391,-0.012917103245854378,5e-05,0.5,0.1,20000.0,0.33336955308914185,0.14379113912582397,1.5695409774780273,0.630814790725708,0.0,0.03693109750747681
51200,5.943612098693848,0.04887586832046509,-0.00244140625,-0.0048903063870966434,0.1,0.32465246735834974,0.0,0.00244140625,-0.04890306666493416,0.7587337493896484,1.305190086364746,240.0,0.005438292026519775,-0.0019014254212379456,0.16848358511924744,-0.01288573443889618,5e-05,0.5,0.1,20000.0,0.3213422894477844,0.16191670298576355,1.3462262153625488,0.5355813503265381,0.0,0.036787837743759155
53248,5.556089401245117,0.04737423360347748,-0.00396728515625,-0.004222816787660122,0.1,0.301194211912202,0.0,0.00396728515625,-0.04222816228866577,0.7601115703582764,1.2937208414077759,240.0,0.005390503505865733,-0.00305962935090065,0.16757352650165558,-0.012743750587105751,5e-05,0.5,0.1,20000.0,0.3904658854007721,0.14212384819984436,1.4594919681549072,0.5523990988731384,0.0,0.03247743472456932
55296,6.019053936004639,0.05093010887503624,-0.00390625,-0.0036056849639862776,0.1,0.27943096822140734,0.0,0.00390625,-0.03605685010552406,0.7521340847015381,1.1642892360687256,240.0,0.004851205150286356,-0.0005824323743581772,0.16406604647636414,-0.01271111611276865,5e-05,0.5,0.1,20000.0,0.3967626988887787,0.15429356694221497,1.3780403137207031,0.5040131211280823,0.0,0.04126330465078354
57344,5.8661394119262695,0.04894200712442398,-0.00311279296875,-0.004896762780845165,0.1,0.2592402606458915,0.0,0.00311279296875,-0.048967622220516205,0.7434455156326294,1.0306322574615479,240.0,0.00429430107275645,-0.00333482027053833,0.16289520263671875,-0.012629635632038116,5e-05,0.5,0.1,20000.0,0.43252548575401306,0.1469813883304596,1.1541210412979126,0.5283969044685364,0.0,0.0443526953458786
59392,6.4308671951293945,0.05280463024973869,-0.0025634765625,-0.006532712839543819,0.1,0.24050846320834218,0.0,0.0025634765625,-0.06532712280750275,0.7393006682395935,1.003807783126831,240.0,0.004182532429695129,-0.0012849606573581696,0.17281489074230194,-0.012499854899942875,5e-05,0.5,0.1,20000.0,0.41856348514556885,0.18545545637607574,1.2095180749893188,0.5139896869659424,0.0,0.04827289283275604
61440,6.36368465423584,0.0519745871424675,-0.00225830078125,-0.0062560029327869415,0.1,0.22313016014842982,0.0,0.00225830078125,-0.06256002932786942,0.738152027130127,0.931826651096344,240.0,0.0038826110462347667,-0.0018381671980023384,0.14982572197914124,-0.012550810351967812,5e-05,0.5,0.1,20000.0,0.47294333577156067,0.17721545696258545,0.9829815030097961,0.484531432390213,0.0,0.058330386877059937
63488,6.697858810424805,0.05690465867519379,-0.00457763671875,-0.0056909010745584965,0.1,0.2070075526811526,0.0,0.00445556640625,-0.05690900981426239,0.7381848096847534,0.8589728474617004,240.0,0.0035790535310904186,-0.000906841829419136,0.20467624068260193,-0.012596252374351025,5e-05,0.5,0.1,20000.0,0.45094388723373413,0.17894800007343292,1.0031782388687134,0.5929753184318542,0.0,0.04541505128145218
65536,6.658914566040039,0.054159000515937805,-0.00213623046875,-0.004068437032401562,0.1,0.19204990862075408,0.0,0.00213623046875,-0.04068436846137047,0.7341434955596924,0.6941059827804565,240.0,0.0028921082615852357,-0.0008002705872058868,0.16540402173995972,-0.012473519891500473,5e-05,0.5,0.1,20000.0,0.49275684356689453,0.18520504236221313,0.7941741943359375,0.6428655982017517,0.0,0.05263953655958176
67584,7.130208969116211,0.058817557990550995,-0.00311279296875,-0.004595925100147724,0.1,0.17817305177289844,0.0,0.00311279296875,-0.04595924913883209,0.7254234552383423,0.7444024085998535,240.0,0.0031016767024993896,-0.0016530896537005901,0.1784089058637619,-0.012320024892687798,5e-05,0.5,0.1,20000.0,0.4510379135608673,0.19181840121746063,0.7082546353340149,0.5845282673835754,0.0,0.06408389657735825
69632,7.324108600616455,0.059416864067316055,-0.002197265625,-0.004933131858706474,0.1,0.16529888822158656,0.0,0.002197265625,-0.049331314861774445,0.7198002338409424,0.6299077272415161,240.0,0.002624615530172984,-0.0005406425334513187,0.15638461709022522,-0.012264149263501167,5e-05,0.5,0.1,20000.0,0.5052040815353394,0.16796815395355225,0.7249224185943604,0.6655097007751465,0.0,0.06603815406560898
71680,7.130202293395996,0.05845128744840622,-0.00274658203125,-0.0048058172687888145,0.1,0.15335496684492847,0.0,0.00274658203125,-0.048058174550533295,0.7167286276817322,0.6484953165054321,240.0,0.0027020638187726337,0.0008416720665991306,0.15963849425315857,-0.012169130146503448,5e-05,0.5,0.1,20000.0,0.483196884393692,0.1985895335674286,0.7147891521453857,0.6725369691848755,0.0,0.05710618942975998
73728,7.470419883728027,0.06190268695354462,-0.0035400390625,-0.005996544845402241,0.1,0.14227407158651353,0.0,0.0035400390625,-0.05996544659137726,0.7150678038597107,0.578114926815033,240.0,0.0024088121950626372,-0.0015686117112636566,0.15381208062171936,-0.012130895629525185,5e-05,0.5,0.1,20000.0,0.5370181798934937,0.1811480075120926,0.5743473172187805,0.5242313742637634,0.0,0.07059381902217865
75776,7.602985382080078,0.06061902642250061,-0.001220703125,-0.00561581552028656,0.1,0.13199384318783017,0.0,0.001220703125,-0.0561581514775753,0.7072715759277344,0.55521559715271,240.0,0.0023133983214696247,-0.001231892965734005,0.1322343647480011,-0.012187443673610687,5e-05,0.5,0.1,20000.0,0.5338718295097351,0.20692574977874756,0.6173511743545532,0.723797619342804,0.0,0.06743989884853363
77824,7.612377166748047,0.061058610677719116,-0.0015869140625,-0.005286406725645065,0.1,0.12245642825298195,0.0,0.0015869140625,-0.05286407098174095,0.708126962184906,0.5162129998207092,240.0,0.002150887499252955,-0.00023881718516349792,0.11171512305736542,-0.012172237038612366,5e-05,0.5,0.1,20000.0,0.5872118473052979,0.1994607001543045,0.511003851890564,0.6732251644134521,0.0,0.07554921507835388
79872,7.28074312210083,0.06005463749170303,-0.003173828125,-0.004717279691249132,0.1,0.11360815367076377,0.0,0.003173828125,-0.047172799706459045,0.7064045667648315,0.5340073704719543,240.0,0.0022250307102998097,-0.0003230050206184387,0.1405678391456604,-0.012124397791922092,5e-05,0.5,0.1,20000.0,0.5452595949172974,0.18944737315177917,0.49265602231025696,0.6446175575256348,0.0,0.07836024463176727
81920,7.906857490539551,0.06457994133234024,-0.0028076171875,-0.004633699543774128,0.1,0.10539922456186433,0.0,0.00274658203125,-0.04633698984980583,0.7020654678344727,0.5420691967010498,240.0,0.0022586216529210407,-0.0012125121429562569,0.17701593041419983,-0.011970359832048416,5e-05,0.5,0.1,20000.0,0.5969598889350891,0.1969963163137436,0.533191442489624,0.5983663201332092,0.0,0.06993944942951202
83968,8.017040252685547,0.06574591249227524,-0.00311279296875,-0.005643938668072224,0.1,0.09778344405135005,0.0,0.00311279296875,-0.05643938481807709,0.7045924067497253,0.4515411853790283,240.0,0.0018814216057459513,-0.0020115585066378117,0.19242249429225922,-0.012034201994538307,5e-05,0.5,0.1,20000.0,0.5719945430755615,0.15722893178462982,0.44646722078323364,0.5940147638320923,0.0,0.08389435708522797
86016,8.271450996398926,0.06687901169061661,-0.00225830078125,-0.0055661890655756,0.1,0.09071795328941247,0.0,0.00225830078125,-0.0556618869304657,0.7035987377166748,0.48448890447616577,240.0,0.0020187037686506906,0.00035161804407835007,0.27940577268600464,-0.012160997837781906,5e-05,0.5,0.1,20000.0,0.5892661213874817,0.1773352026939392,0.5315730571746826,0.5325558185577393,0.0,0.08862268179655075
88064,7.704848289489746,0.06294070184230804,-0.00274658203125,-0.006326537113636732,0.1,0.0841629902573104,0.0,0.00274658203125,-0.0632653683423996,0.7062042951583862,0.4591667652130127,240.0,0.0019131948550542195,-0.0018216734752058983,0.2838402986526489,-0.01201358251273632,5e-05,0.5,0.1,20000.0,0.6011683344841003,0.17415402829647064,0.4334467053413391,0.5331434607505798,0.0,0.09533572942018509
90112,8.4493408203125,0.0683908462524414,-0.00238037109375,-0.009014254435896873,0.1,0.07808166600115317,0.0,0.00238037109375,-0.09014254063367844,0.7060441374778748,0.45411330461502075,240.0,0.0018921387692292532,-0.0008433889597654343,0.2912590503692627,-0.011872791685163975,5e-05,0.5,0.1,20000.0,0.6199969053268433,0.1457415521144867,0.4563769996166229,0.2613693177700043,0.0,0.09997516870498657
92160,7.406570911407471,0.060183167457580566,-0.0023193359375,-0.0057790204882621765,0.1,0.07243975703425146,0.0,0.0023193359375,-0.05779020115733147,0.7036529779434204,0.4755978584289551,240.0,0.0019816577434539793,-0.0030267294496297836,0.320503830909729,-0.011810176074504852,5e-05,0.5,0.1,20000.0,0.6033719778060913,0.16198104619979858,0.5096515417098999,0.6095322966575623,0.0,0.06852810084819794
94208,7.410440921783447,0.06070169061422348,-0.0028076171875,-0.006810065358877182,0.1,0.06720551273974976,0.0,0.0028076171875,-0.06810065358877182,0.697516679763794,0.44467175006866455,240.0,0.0018527989586194357,-0.0015616631135344505,0.2750973701477051,-0.011837282218039036,5e-05,0.5,0.1,20000.0,0.5513531565666199,0.15750817954540253,0.4514485001564026,0.5632232427597046,0.0,0.07686621695756912
96256,7.207521438598633,0.05899430438876152,-0.002685546875,-0.007564418949186802,0.1,0.0623494766896734,0.0,0.002655029296875,-0.07564418017864227,0.7045021653175354,0.4465230405330658,240.0,0.001860512668887774,-0.0014633163809776306,0.26595592498779297,-0.011865345761179924,5e-05,0.5,0.1,20000.0,0.5898972749710083,0.1409023404121399,0.456282377243042,0.5598216652870178,0.0,0.077874556183815
98304,7.283566951751709,0.05952737480401993,-0.00262451171875,-0.007918569259345531,0.1,0.057844320874838484,0.0,0.00262451171875,-0.07918569445610046,0.7018771767616272,0.4268883466720581,240.0,0.0017787014444669087,0.0002657901495695114,0.18792030215263367,-0.011828385293483734,5e-05,0.5,0.1,20000.0,0.6358645558357239,0.12507283687591553,0.5091763138771057,0.41809141635894775,0.0,0.07278931140899658
100352,6.896944046020508,0.05601860582828522,-0.00213623046875,-0.006490703672170639,0.1,0.053664691912730135,0.0,0.00213623046875,-0.06490703672170639,0.701589822769165,0.4069269001483917,240.0,0.0016955287506182988,-0.00034917332231998444,0.10471238195896149,-0.01182031724601984,5e-05,0.5,0.1,20000.0,0.6382408142089844,0.171378955245018,0.4163478910923004,0.63604736328125,0.0,0.07102439552545547
102400,7.768235206604004,0.06264246255159378,-0.001953125,-0.008426694199442863,0.1,0.049787068367863944,0.0,0.001953125,-0.08426693826913834,0.6985880136489868,0.36759093403816223,240.0,0.001531628891825676,-0.00017725955694913864,0.14538560807704926,-0.01168535090982914,5e-05,0.5,0.1,20000.0,0.6138535737991333,0.13498719036579132,0.4127315878868103,0.3776749074459076,0.0,0.08745027333498001
