source,N,budget_type,K,ratio,seed,eval_mode,avg_degree,avg_k_cap,degree_error_vs_K,degree_error_vs_cap,edge_density,Vmax,violation_rate,n_steps
encoder,16,ratio,,0.05,1234,env,0.73390625,1.0,,0.26609375,0.04892708588391542,0.0,0.0,400
encoder,16,ratio,,0.1,1234,env,0.7475,1.0,,0.25249999999999995,0.049833336155861614,0.0,0.0,400
encoder,16,ratio,,0.2,1234,env,0.76546875,1.0046875,,0.23921874999999992,0.05103125269524753,0.0,0.0,400
encoder,16,ratio,,0.4,1234,env,0.85609375,1.12921875,,0.27312499999999995,0.057072919788770375,0.0,0.0,400
encoder,32,fixed_k,1,,1234,geom,0.742890625,0.742890625,0.257109375,0.0,0.02396421299315989,0.0,0.0,400
encoder,32,fixed_k,2,,1234,geom,1.14015625,1.14015625,0.85984375,0.0,0.03677923278417438,0.0,0.0,400
encoder,32,fixed_k,4,,1234,geom,1.3428125,1.3428125,2.6571875,0.0,0.043316530929878354,0.0,0.0,400
encoder,32,fixed_k,6,,1234,geom,1.359921875,1.359921875,4.6400781250000005,0.0,0.04386844616383314,0.0,0.0,400
encoder,32,fixed_k,8,,1234,geom,1.360625,1.360625,6.639375,0.0,0.043891127659007906,0.0,0.0,400
encoder,32,ratio,,0.05,1234,geom,0.747421875,1.0,,0.252578125,0.024110382343642413,0.0,0.0,400
encoder,32,ratio,,0.1,1234,geom,0.7465625,1.0,,0.2534375,0.024082660551648587,0.0,0.0,400
encoder,32,ratio,,0.2,1234,geom,0.74203125,1.002109375,,0.26007812500000005,0.023936491278000176,0.0,0.0,400
encoder,32,ratio,,0.4,1234,geom,0.9075,1.16140625,,0.25390625,0.02927419259445742,0.0,0.0,400
encoder,64,fixed_k,1,,1234,geom,0.7189453125,0.7189453125,0.28105468749999996,0.0,0.011411830945871771,0.0,0.0,400
encoder,64,fixed_k,2,,1234,geom,1.0862109375,1.0862109375,0.9137890625,0.0,0.017241444629617034,0.0,0.0,400
encoder,64,fixed_k,4,,1234,geom,1.2657421875,1.2657421875,2.7342578125,0.0,0.02009114685468376,0.0,0.0,400
encoder,64,fixed_k,6,,1234,geom,1.2714453125,1.2714453125,4.7285546875,0.0,0.020181672549806535,0.0,0.0,400
encoder,64,fixed_k,8,,1234,geom,1.296484375,1.296484375,6.703515625,0.0,0.02057911803945899,0.0,0.0,400
encoder,64,ratio,,0.05,1234,geom,0.7239453125,1.0,,0.27605468749999995,0.011491196071729064,0.0,0.0,400
encoder,64,ratio,,0.1,1234,geom,0.718359375,1.0,,0.281640625,0.01140253035351634,0.0,0.0,400
encoder,64,ratio,,0.2,1234,geom,0.721328125,1.0024609375,,0.2811328125,0.011449653368908913,0.0,0.0,400
encoder,64,ratio,,0.4,1234,geom,0.86890625,1.1460546875,,0.27714843749999996,0.013792163662146776,0.0,0.0,400
encoder,8,fixed_k,1,,2026,env,0.71,0.71,0.29000000000000004,0.0,0.1014285746216774,0.0,0.0,400
encoder,8,fixed_k,2,,2026,env,1.054375,1.054375,0.9456249999999999,0.0,0.15062500728294254,0.0,0.0,400
encoder,8,fixed_k,4,,2026,env,1.255625,1.255625,2.744375,0.0,0.1793750075250864,0.0,0.0,400
encoder,8,fixed_k,6,,2026,env,1.230625,1.230625,4.769375,0.0,0.1758035789616406,0.0,0.0,400
encoder,8,fixed_k,8,,2026,env,1.43375,1.43375,6.56625,0.0,0.20482143845409154,0.0,0.0,400
encoder,8,ratio,,0.05,2026,env,0.7096875,1.0,,0.2903125,0.10138393233530224,0.0,0.0,400
encoder,8,ratio,,0.1,2026,env,0.710625,1.0,,0.28937500000000005,0.1015178610663861,0.0,0.0,400
encoder,8,ratio,,0.2,2026,env,0.7871875,1.0,,0.21281249999999996,0.11245536034926772,0.0,0.0,400
encoder,8,ratio,,0.4,2026,env,0.8915625,1.118125,,0.2265625,0.12736607631668448,0.0,0.0,400
encoder,16,fixed_k,1,,2026,env,0.778125,0.778125,0.22187500000000004,0.0,0.05187500277999788,0.0,0.0,400
encoder,16,fixed_k,2,,2026,env,1.1015625,1.1015625,0.8984375,0.0,0.07343750369269401,0.0,0.0,400
encoder,16,fixed_k,4,,2026,env,1.2521875,1.2521875,2.7478125,0.0,0.08347917100414634,0.0,0.0,400
encoder,16,fixed_k,6,,2026,env,1.2615625,1.2615625,4.7384375,0.0,0.08410417168401181,0.0,0.0,400
encoder,16,fixed_k,8,,2026,env,1.3803125,1.3803125,6.6196874999999995,0.0,0.09202083835378289,0.0,0.0,400
encoder,16,ratio,,0.05,2026,env,0.68109375,1.0,,0.31890624999999995,0.045406252630054954,0.0,0.0,400
encoder,16,ratio,,0.1,2026,env,0.74296875,1.0,,0.25703125000000004,0.049531252486631275,0.0,0.0,400
encoder,16,ratio,,0.2,2026,env,0.7615625,1.0,,0.23843749999999997,0.05077083634212613,0.0,0.0,400
encoder,16,ratio,,0.4,2026,env,0.811875,1.10453125,,0.29265624999999995,0.0541250030323863,0.0,0.0,400
encoder,32,fixed_k,1,,2026,geom,0.7390625,0.7390625,0.26093750000000004,0.0,0.023840725077316164,0.0,0.0,400
encoder,32,fixed_k,2,,2026,geom,1.149453125,1.149453125,0.850546875,0.0,0.03707913192920387,0.0,0.0,400
encoder,32,fixed_k,4,,2026,geom,1.331328125,1.331328125,2.6686718750000002,0.0,0.04294606724288315,0.0,0.0,400
encoder,32,fixed_k,6,,2026,geom,1.34546875,1.34546875,4.65453125,0.0,0.04340221632272005,0.0,0.0,400
encoder,32,fixed_k,8,,2026,geom,1.393671875,1.393671875,6.606328125,0.0,0.04495715576224029,0.0,0.0,400
encoder,32,ratio,,0.05,2026,geom,0.745859375,1.0,,0.254140625,0.02405997911002487,0.0,0.0,400
encoder,32,ratio,,0.1,2026,geom,0.747578125,1.0,,0.252421875,0.02411542267072946,0.0,0.0,400
encoder,32,ratio,,0.2,2026,geom,0.7453125,1.001875,,0.2565625,0.024042337979190052,0.0,0.0,400
encoder,32,ratio,,0.4,2026,geom,0.906484375,1.158203125,,0.25171875,0.0292414305312559,0.0,0.0,400
encoder,64,fixed_k,1,,2026,geom,0.722109375,0.722109375,0.27789062499999995,0.0,0.011462054159492254,0.0,0.0,400
encoder,64,fixed_k,2,,2026,geom,1.0924609375,1.0924609375,0.9075390624999999,0.0,0.01734065094962716,0.0,0.0,400
encoder,64,fixed_k,4,,2026,geom,1.2620703125,1.2620703125,2.7379296875000003,0.0,0.020032863037195058,0.0,0.0,400
encoder,64,fixed_k,6,,2026,geom,1.2783984375,1.2783984375,4.7216015625,0.0,0.020292039597406983,0.0,0.0,400
encoder,64,fixed_k,8,,2026,geom,1.28828125,1.28828125,6.71171875,0.0,0.02044890969991684,0.0,0.0,400
encoder,64,ratio,,0.05,2026,geom,0.72515625,1.0,,0.27484375000000005,0.011510417293757201,0.0,0.0,400
encoder,64,ratio,,0.1,2026,geom,0.7234765625,1.0,,0.27652343749999997,0.011483755582012235,0.0,0.0,400
encoder,64,ratio,,0.2,2026,geom,0.7228515625,1.001875,,0.2790234375,0.011473834933713078,0.0,0.0,400
encoder,64,ratio,,0.4,2026,geom,0.87109375,1.14640625,,0.27531250000000007,0.013826885879971086,0.0,0.0,400
encoder,8,fixed_k,1,,3407,env,0.78375,0.78375,0.21625000000000005,0.0,0.11196428937837481,0.0,0.0,400
encoder,8,fixed_k,2,,3407,env,0.85375,0.85375,1.14625,0.0,0.1219642917625606,0.0,0.0,400
encoder,8,fixed_k,4,,3407,env,1.2025,1.2025,2.7975000000000003,0.0,0.17178572172299028,0.0,0.0,400
encoder,8,fixed_k,6,,3407,env,1.224375,1.224375,4.775625,0.0,0.17491072278469802,0.0,0.0,400
encoder,8,fixed_k,8,,3407,env,1.020625,1.020625,6.979375,0.0,0.14580357913859188,0.0,0.0,400
encoder,8,ratio,,0.05,3407,env,0.8184375,1.0,,0.18156249999999996,0.11691964710131288,0.0,0.0,400
encoder,8,ratio,,0.1,3407,env,0.8284375,1.0,,0.17156249999999995,0.11834821878932417,0.0,0.0,400
encoder,8,ratio,,0.2,3407,env,0.693125,1.0,,0.306875,0.09901786100119353,0.0,0.0,400
encoder,8,ratio,,0.4,3407,env,0.829375,1.101875,,0.27249999999999996,0.11848214803263545,0.0,0.0,400
encoder,16,fixed_k,1,,3407,env,0.75609375,0.75609375,0.24390625,0.0,0.05040625306777656,0.0,0.0,400
encoder,16,fixed_k,2,,3407,env,1.0415625,1.0415625,0.9584375,0.0,0.06943750409176573,0.0,0.0,400
encoder,16,fixed_k,4,,3407,env,1.15625,1.15625,2.84375,0.0,0.07708333754912018,0.0,0.0,400
encoder,16,fixed_k,6,,3407,env,1.3825,1.3825,4.6175,0.0,0.09216667147353291,0.0,0.0,400
encoder,16,fixed_k,8,,3407,env,1.3328125,1.3328125,6.6671875,0.0,0.08885417152196169,0.0,0.0,400
encoder,16,ratio,,0.05,3407,env,0.74625,1.0,,0.25375000000000003,0.049750002631917596,0.0,0.0,400
encoder,16,ratio,,0.1,3407,env,0.74890625,1.0,,0.25109375,0.04992708659730852,0.0,0.0,400
encoder,16,ratio,,0.2,3407,env,0.7584375,1.00140625,,0.24296875000000007,0.05056250285357237,0.0,0.0,400
encoder,16,ratio,,0.4,3407,env,0.87484375,1.155,,0.28015625,0.05832291976548731,0.0,0.0,400
encoder,32,fixed_k,1,,3407,geom,0.75109375,0.75109375,0.24890625,0.0,0.024228829878848047,0.0,0.0,400
encoder,32,fixed_k,2,,3407,geom,1.147578125,1.147578125,0.8524218750000001,0.0,0.03701864814385772,0.0,0.0,400
encoder,32,fixed_k,4,,3407,geom,1.360234375,1.360234375,2.639765625,0.0,0.043878526808694,0.0,0.0,400
encoder,32,fixed_k,6,,3407,geom,1.34140625,1.34140625,4.65859375,0.0,0.0432711680745706,0.0,0.0,400
encoder,32,fixed_k,8,,3407,geom,1.36859375,1.36859375,6.6314062499999995,0.0,0.04414818411692977,0.0,0.0,400
encoder,32,ratio,,0.05,3407,geom,0.740234375,1.0,,0.259765625,0.023878527435008436,0.0,0.0,400
encoder,32,ratio,,0.1,3407,geom,0.7425,1.0,,0.25749999999999995,0.02395161219406873,0.0,0.0,400
encoder,32,ratio,,0.2,3407,geom,0.74140625,1.002109375,,0.26070312500000004,0.023916330009233207,0.0,0.0,400
encoder,32,ratio,,0.4,3407,geom,0.915703125,1.166015625,,0.25031250000000005,0.029538809491787107,0.0,0.0,400
encoder,64,fixed_k,1,,3407,geom,0.7177734375,0.7177734375,0.2822265625,0.0,0.011393229730892927,0.0,0.0,400
encoder,64,fixed_k,2,,3407,geom,1.0941796875,1.0941796875,0.9058203125,0.0,0.01736793271964416,0.0,0.0,400
encoder,64,fixed_k,4,,3407,geom,1.25890625,1.25890625,2.74109375,0.0,0.019982639856170863,0.0,0.0,400
encoder,64,fixed_k,6,,3407,geom,1.274609375,1.274609375,4.725390625,0.0,0.02023189578205347,0.0,0.0,400
encoder,64,fixed_k,8,,3407,geom,1.27796875,1.27796875,6.72203125,0.0,0.020285219219513238,0.0,0.0,400
encoder,64,ratio,,0.05,3407,geom,0.722109375,1.0,,0.27789062499999995,0.011462054180447013,0.0,0.0,400
encoder,64,ratio,,0.1,3407,geom,0.72453125,1.0,,0.27546875000000004,0.01150049663381651,0.0,0.0,400
encoder,64,ratio,,0.2,3407,geom,0.7222265625,1.0019921875,,0.279765625,0.01146391429239884,0.0,0.0,400
encoder,64,ratio,,0.4,3407,geom,0.858359375,1.14078125,,0.28242187500000004,0.01362475291127339,0.0,0.0,400
encoder,8,fixed_k,1,,42,env,0.7240625,0.7240625,0.27593749999999995,0.0,0.10343750484287739,0.0,0.0,400
encoder,8,fixed_k,2,,42,env,0.9653125,0.9653125,1.0346875,0.0,0.13790179223753513,0.0,0.0,400
encoder,8,fixed_k,4,,42,env,1.3765625,1.3765625,2.6234375,0.0,0.19665179513394832,0.0,0.0,400
encoder,8,fixed_k,6,,42,env,1.16375,1.16375,4.83625,0.0,0.1662500082142651,0.0,0.0,400
encoder,8,fixed_k,8,,42,env,1.285625,1.285625,6.714375,0.0,0.1836607237905264,0.0,0.0,400
encoder,8,ratio,,0.05,42,env,0.7146875,1.0,,0.28531249999999997,0.1020982177183032,0.0,0.0,400
encoder,8,ratio,,0.1,42,env,0.808125,1.0,,0.19187500000000002,0.11544643267057836,0.0,0.0,400
encoder,8,ratio,,0.2,42,env,0.7140625,1.0,,0.28593749999999996,0.10200893256813287,0.0,0.0,400
encoder,8,ratio,,0.4,42,env,0.8184375,1.096875,,0.2784375,0.11691964782774449,0.0,0.0,400
encoder,16,fixed_k,1,,42,env,0.71453125,0.71453125,0.28546875000000005,0.0,0.047635419461876154,0.0,0.0,400
encoder,16,fixed_k,2,,42,env,1.18171875,1.18171875,0.8182812500000001,0.0,0.0787812548968941,0.0,0.0,400
encoder,16,fixed_k,4,,42,env,1.2671875,1.2671875,2.7328125,0.0,0.08447917088866234,0.0,0.0,400
encoder,16,fixed_k,6,,42,env,1.29,1.29,4.71,0.0,0.08600000444799662,0.0,0.0,400
encoder,16,fixed_k,8,,42,env,1.2275,1.2275,6.7725,0.0,0.08183333755470812,0.0,0.0,400
encoder,16,ratio,,0.05,42,env,0.723125,1.0,,0.276875,0.0482083363737911,0.0,0.0,400
encoder,16,ratio,,0.1,42,env,0.73890625,1.0,,0.26109375,0.04926041942089796,0.0,0.0,400
encoder,16,ratio,,0.2,42,env,0.7215625,1.00109375,,0.2795312499999999,0.04810416959226131,0.0,0.0,400
encoder,16,ratio,,0.4,42,env,0.94390625,1.17,,0.22609374999999998,0.06292708682827651,0.0,0.0,400
encoder,32,fixed_k,1,,42,geom,0.738359375,0.738359375,0.26164062499999996,0.0,0.023818043624050916,0.0,0.0,400
encoder,32,fixed_k,2,,42,geom,1.146484375,1.146484375,0.853515625,0.0,0.03698336583096534,0.0,0.0,400
encoder,32,fixed_k,4,,42,geom,1.351953125,1.351953125,2.648046875,0.0,0.043611389808356764,0.0,0.0,400
encoder,32,fixed_k,6,,42,geom,1.363671875,1.363671875,4.636328125,0.0,0.04398941403254866,0.0,0.0,400
encoder,32,fixed_k,8,,42,geom,1.365625,1.365625,6.634375,0.0,0.04405241791158915,0.0,0.0,400
encoder,32,ratio,,0.05,42,geom,0.74390625,1.0,,0.25609375,0.023996975105255842,0.0,0.0,400
encoder,32,ratio,,0.1,42,geom,0.742265625,1.0,,0.25773437499999996,0.023944051754660904,0.0,0.0,400
encoder,32,ratio,,0.2,42,geom,0.749375,1.001875,,0.25250000000000006,0.02417338635539636,0.0,0.0,400
encoder,32,ratio,,0.4,42,geom,0.903359375,1.16484375,,0.261484375,0.02914062411757186,0.0,0.0,400
encoder,64,fixed_k,1,,42,geom,0.719609375,0.719609375,0.280390625,0.0,0.011422371612861753,0.0,0.0,400
encoder,64,fixed_k,2,,42,geom,1.078828125,1.078828125,0.921171875,0.0,0.01712425706675276,0.0,0.0,400
encoder,64,fixed_k,4,,42,geom,1.281953125,1.281953125,2.7180468749999998,0.0,0.020348463316913694,0.0,0.0,400
encoder,64,fixed_k,6,,42,geom,1.27,1.27,4.73,0.0,0.020158731054980308,0.0,0.0,400
encoder,64,fixed_k,8,,42,geom,1.28125,1.28125,6.71875,0.0,0.020337302549742163,0.0,0.0,400
encoder,64,ratio,,0.05,42,geom,0.7173828125,1.0,,0.2826171875,0.011387029343750328,0.0,0.0,400
encoder,64,ratio,,0.1,42,geom,0.7189453125,1.0,,0.28105468749999996,0.011411830955184997,0.0,0.0,400
encoder,64,ratio,,0.2,42,geom,0.7258984375,1.001875,,0.2759765625,0.011522198035381735,0.0,0.0,400
encoder,64,ratio,,0.4,42,geom,0.859453125,1.1392578125,,0.27980468749999987,0.01364211403299123,0.0,0.0,400
encoder,8,fixed_k,1,,8888,env,0.7121875,0.7121875,0.2878125,0.0,0.10174107561819255,0.0,0.0,400
encoder,8,fixed_k,2,,8888,env,1.03125,1.03125,0.96875,0.0,0.14732143552042543,0.0,0.0,400
encoder,8,fixed_k,4,,8888,env,1.5890625,1.5890625,2.4109375,0.0,0.22700894046574832,0.0,0.0,400
encoder,8,fixed_k,6,,8888,env,1.459375,1.459375,4.540625,0.0,0.20848215291276573,0.0,0.0,400
encoder,8,fixed_k,8,,8888,env,1.006875,1.006875,6.993125,0.0,0.14383929167874157,0.0,0.0,400
encoder,8,ratio,,0.05,8888,env,0.8025,1.0,,0.1975,0.11464286161586643,0.0,0.0,400
encoder,8,ratio,,0.1,8888,env,0.7415625,1.0,,0.2584375,0.105937504414469,0.0,0.0,400
encoder,8,ratio,,0.2,8888,env,0.699375,1.0,,0.30062500000000003,0.0999107181187719,0.0,0.0,400
encoder,8,ratio,,0.4,8888,env,0.8075,1.101875,,0.29437499999999994,0.11535714688710869,0.0,0.0,400
encoder,16,fixed_k,1,,8888,env,0.78015625,0.78015625,0.21984375,0.0,0.05201041958294809,0.0,0.0,400
encoder,16,fixed_k,2,,8888,env,1.0565625,1.0565625,0.9434374999999999,0.0,0.07043750385753811,0.0,0.0,400
encoder,16,fixed_k,4,,8888,env,1.01265625,1.01265625,2.98734375,0.0,0.06751042028656229,0.0,0.0,400
encoder,16,fixed_k,6,,8888,env,1.3346875,1.3346875,4.6653125,0.0,0.08897917125374079,0.0,0.0,400
encoder,16,fixed_k,8,,8888,env,1.4465625,1.4465625,6.5534375,0.0,0.096437505222857,0.0,0.0,400
encoder,16,ratio,,0.05,8888,env,0.7509375,1.0,,0.24906249999999996,0.05006250312086195,0.0,0.0,400
encoder,16,ratio,,0.1,8888,env,0.74515625,1.0,,0.25484375000000004,0.04967708585318178,0.0,0.0,400
encoder,16,ratio,,0.2,8888,env,0.7590625,1.00390625,,0.24484375000000003,0.050604169853031636,0.0,0.0,400
encoder,16,ratio,,0.4,8888,env,0.87453125,1.1259375,,0.25140625000000005,0.05830208676867187,0.0,0.0,400
encoder,32,fixed_k,1,,8888,geom,0.743359375,0.743359375,0.25664062499999996,0.0,0.023979333979077637,0.0,0.0,400
encoder,32,fixed_k,2,,8888,geom,1.134296875,1.134296875,0.865703125,0.0,0.03659022066742182,0.0,0.0,400
encoder,32,fixed_k,4,,8888,geom,1.335234375,1.335234375,2.6647656250000002,0.0,0.04307207534089685,0.0,0.0,400
encoder,32,fixed_k,6,,8888,geom,1.350703125,1.350703125,4.649296875,0.0,0.04357106718700379,0.0,0.0,400
encoder,32,fixed_k,8,,8888,geom,1.3484375,1.3484375,6.6515625,0.0,0.043497982569970194,0.0,0.0,400
encoder,32,ratio,,0.05,8888,geom,0.73921875,1.0,,0.26078124999999996,0.02384576541138813,0.0,0.0,400
encoder,32,ratio,,0.1,8888,geom,0.7459375,1.0,,0.25406249999999997,0.02406249927356839,0.0,0.0,400
encoder,32,ratio,,0.2,8888,geom,0.74671875,1.0025,,0.25578124999999996,0.02408770095789805,0.0,0.0,400
encoder,32,ratio,,0.4,8888,geom,0.904296875,1.1575,,0.253203125,0.02917086604051292,0.0,0.0,400
encoder,64,fixed_k,1,,8888,geom,0.713828125,0.713828125,0.28617187499999996,0.0,0.011330605708062649,0.0,0.0,400
encoder,64,fixed_k,2,,8888,geom,1.092734375,1.092734375,0.907265625,0.0,0.017344991262070834,0.0,0.0,400
encoder,64,fixed_k,4,,8888,geom,1.2572265625,1.2572265625,2.7427734375,0.0,0.019955978128127754,0.0,0.0,400
encoder,64,fixed_k,6,,8888,geom,1.2894140625,1.2894140625,4.7105859375,0.0,0.020466890810057523,0.0,0.0,400
encoder,64,fixed_k,8,,8888,geom,1.27953125,1.27953125,6.72046875,0.0,0.020310020777396857,0.0,0.0,400
encoder,64,ratio,,0.05,8888,geom,0.7165625,1.0,,0.2834375,0.011374008529819547,0.0,0.0,400
encoder,64,ratio,,0.1,8888,geom,0.722890625,1.0,,0.277109375,0.011474454964045436,0.0,0.0,400
encoder,64,ratio,,0.2,8888,geom,0.720546875,1.002109375,,0.28156250000000005,0.011437252599280327,0.0,0.0,400
encoder,64,ratio,,0.4,8888,geom,0.86328125,1.14125,,0.2779687500000001,0.01370287794386968,0.0,0.0,400
