step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy,lambda_comm,lambda_u,lambda_rank,lambda_budget,target_comm,utility_warmup_steps,utility_mean,utility_std,gate_mass,utility_corr,comm_precision,cud,utility_loss
2048,-1.0384328365325928,-0.006892053410410881,-0.001220703125,-0.0045035164803266525,0.1,0.5,0.0,0.001220703125,-0.045035164803266525,0.8604239821434021,0.5735843777656555,12.0,0.04779869814713796,-0.008546002209186554,0.019353415817022324,-0.012784762308001518,0.0,0.5,0.1,0.0,2.0,1000.0,0.37875497341156006,0.014833254739642143,0.5847712755203247,0.016568517312407494,0.0,0.028438013046979904,0.10345378518104553
4096,-2.2429566383361816,-0.00043325359001755714,-0.01708984375,-0.002305448055267334,0.1,1.0,0.0,0.016845703125,-0.02305448055267334,0.8601635694503784,0.9198569059371948,12.0,0.0766547421614329,-0.004598598927259445,0.2093374878168106,-0.01302702073007822,0.0,0.5,0.1,0.0,2.0,1000.0,0.13095544278621674,0.028624562546610832,1.2004048824310303,0.26683494448661804,0.0,0.027024555951356888,0.008449764922261238
6144,-0.4543629586696625,0.0023096646182239056,-0.005859375,-0.001334354397840798,0.1,0.6872892787909722,0.0,0.005859375,-0.013343545608222485,0.8546895384788513,1.1528117656707764,12.0,0.09606764713923137,-0.004840858280658722,0.05458734557032585,-0.013056718744337559,0.0,0.5,0.1,0.004,1.8,1000.0,0.03255332261323929,0.019432293251156807,1.3480968475341797,-0.46596959233283997,0.0,0.08794941753149033,0.0018353152554482222
8192,-0.8742697238922119,0.005132658872753382,-0.011962890625,-0.0029469062574207783,0.1,0.4723665527410147,0.0,0.011962890625,-0.029469061642885208,0.8388664126396179,1.7791059017181396,12.0,0.1482588251431783,-0.0029277028515934944,0.12220147997140884,-0.013150559738278389,0.0,0.5,0.1,0.008,1.6,1000.0,0.019395265728235245,0.008797280490398407,2.618126392364502,-0.2627260088920593,0.5925925970077515,0.2931579053401947,0.03742770850658417
10240,0.7811810374259949,0.009032663889229298,-0.0029296875,0.00017020301311276853,0.1,0.32465246735834974,0.0,0.0029296875,0.0017020299565047026,0.8357646465301514,1.3926490545272827,12.0,0.11605408787727356,-0.010299374349415302,0.04268840700387955,-0.012722630053758621,0.0,0.5,0.1,0.012,1.4,1000.0,0.03154585510492325,0.008640733547508717,1.840132713317871,0.018117563799023628,0.47058823704719543,0.29453805088996887,0.025620635598897934
12288,0.5542581677436829,0.008236391469836235,-0.00390625,-0.00041766243521124125,0.1,0.22313016014842982,0.0,0.00390625,-0.004176622722297907,0.8324730396270752,1.194775104522705,12.0,0.09956459204355876,-0.004712044261395931,0.04419274255633354,-0.01302457507699728,0.0,0.5,0.1,0.016,1.2,1000.0,0.0676969438791275,0.015829844400286674,1.045175313949585,-0.18786689639091492,0.7916666865348816,0.4898465573787689,0.05916699394583702
14336,-0.4798315167427063,0.016759127378463745,-0.0205078125,-0.005563749931752682,0.1,0.15335496684492847,0.0,0.019775390625,-0.05563750118017197,0.8310965299606323,1.2059576511383057,12.0,0.10049647092819214,-0.0011855494230985641,0.20987287163734436,-0.012934774160385132,0.0,0.5,0.1,0.02,1.0,1000.0,0.20232169330120087,0.02473575994372368,1.1573842763900757,0.31437423825263977,1.0,0.6415799856185913,0.0849340558052063
16384,-0.603209912776947,0.015795234590768814,-0.0205078125,-0.007239751052111387,0.1,0.10539922456186433,0.0,0.0205078125,-0.07239751517772675,0.8227252960205078,1.0219379663467407,12.0,0.08516149719556172,-0.006960119120776653,0.23660720884799957,-0.012964600697159767,0.0,0.5,0.1,0.02,1.0,1000.0,0.3307957351207733,0.07419545948505402,1.1695384979248047,0.32347577810287476,0.0,0.5267801284790039,0.06455270946025848
18432,0.7806501388549805,0.01488789264112711,-0.0087890625,-0.0025704612489789724,0.1,0.07243975703425146,0.0,0.0087890625,-0.025704611092805862,0.8107285499572754,0.941809356212616,12.0,0.078484113017718,-0.006417311728000641,0.0945083349943161,-0.012804782018065453,0.0,0.5,0.1,0.02,1.0,1000.0,0.28346553444862366,0.07882402092218399,0.8360059857368469,-0.2747965157032013,0.0,0.5059004426002502,0.06457717716693878
20480,-1.1124547719955444,0.015723006799817085,-0.0244140625,-0.0020967507734894753,0.1,0.049787068367863944,0.0,0.0240478515625,-0.020967507734894753,0.8092079162597656,1.0767768621444702,12.0,0.08973140517870586,-0.00040987366810441017,0.26514434814453125,-0.013072810135781765,0.0,0.5,0.1,0.02,1.0,1000.0,0.26634079217910767,0.07243383675813675,1.0701833963394165,0.4156997799873352,0.0,0.5940964221954346,0.07447545230388641
