step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy,lambda_comm
2048,-8.148672103881836,-0.04089539498090744,-0.02276611328125,-0.007584306411445141,0.1,0.1,0.0,0.022613525390625,-0.07584306597709656,0.8262120485305786,7.791769981384277,240.0,0.03246570825576782,-0.002887425012886524,0.25378966331481934,-0.013175955042243004,0.001
4096,-6.305133819580078,-0.02600446715950966,-0.02325439453125,0.0013268319889903069,0.1,0.2,0.0,0.023162841796875,0.01326831802725792,0.8252128958702087,5.552307605743408,240.0,0.02313461502393087,-0.004270575940608978,0.2898838222026825,-0.013297035358846188,0.001
6144,-5.654518127441406,-0.027330217882990837,-0.016845703125,0.0009576980955898762,0.1,0.3,0.0,0.01678466796875,0.009576981887221336,0.8236792087554932,2.431746482849121,240.0,0.010132277011871338,-0.002054511569440365,0.27608349919319153,-0.013403225690126419,0.001
8192,-3.725205898284912,-0.009693991392850876,-0.0194091796875,-0.0017643256578594446,0.1,0.4,0.0,0.019287109375,-0.017643257975578308,0.8220816850662231,1.0131903886795044,240.0,0.004221626619497935,-0.0018793032504618168,0.23198294639587402,-0.013485712930560112,0.001
10240,-1.8443901538848877,-0.002141231205314398,-0.01226806640625,-0.0010398025624454021,0.1,0.5,0.0,0.01220703125,-0.010398025624454021,0.8185953497886658,0.515905499458313,240.0,0.0021496062477429708,-0.003752628341317177,0.1299181431531906,-0.01342457439750433,0.001
12288,-1.9289028644561768,-0.004876682069152594,-0.01019287109375,-0.0020771613344550133,0.1,0.6,0.0,0.01019287109375,-0.020771611481904984,0.8076033592224121,0.2825250029563904,240.0,0.0011771875123182932,-0.004699972458183765,0.12711559236049652,-0.01348490547388792,0.001
14336,-1.7924586534500122,-0.00912077073007822,-0.0048828125,-0.002792723709717393,0.1,0.7,0.0,0.0048828125,-0.027927236631512642,0.7996573448181152,0.16659632325172424,240.0,0.0006941513468821844,-0.004069779068231583,0.07966139167547226,-0.013461912050843239,0.001
16384,0.708254873752594,0.014932654798030853,-0.0093994140625,-0.0041857692413032055,0.1,0.8,0.0,0.009368896484375,-0.04185769334435463,0.7962619662284851,0.16329573094844818,240.0,0.0006803988789518674,-0.0022585513070225716,0.10299133509397507,-0.013405549339950085,0.001
18432,1.0902152061462402,0.013827366754412651,-0.00531005859375,-0.005354571621865034,0.1,0.9,0.0,0.00531005859375,-0.05354571342468262,0.7927100658416748,0.1331033855676651,240.0,0.0005545974398652713,-0.0027741622179746628,0.06663171201944351,-0.013260813429951668,0.001
20480,2.830315589904785,0.024919457733631134,-0.0028076171875,-0.006341692991554737,0.1,1.0,0.0,0.0028076171875,-0.06341692805290222,0.7878310680389404,0.11564366519451141,240.0,0.0004818486049771309,-0.004454061388969421,0.04813709855079651,-0.013188892044126987,0.001
22528,3.328672409057617,0.031803593039512634,-0.00579833984375,-0.004431251436471939,0.1,0.9277434863285529,0.0,0.00579833984375,-0.04431251436471939,0.7850291728973389,0.099188894033432,240.0,0.00041328705847263334,-0.0028900373727083206,0.08736957609653473,-0.013145515695214272,0.001
24576,4.196361541748047,0.03699549660086632,-0.00421142578125,-0.007884599268436432,0.1,0.8607079764250578,0.0,0.004150390625,-0.07884598523378372,0.787581205368042,0.08445875346660614,240.0,0.00035191147277752557,-0.0005945069715380669,0.09426680207252502,-0.013157517649233341,0.001
26624,4.307698726654053,0.039940521121025085,-0.00628662109375,-0.0066223060712218285,0.1,0.7985162187593771,0.0,0.0062255859375,-0.06622306257486343,0.7807338237762451,0.08002753555774689,240.0,0.0003334480648239454,-0.0014504864811897278,0.11648735404014587,-0.01308665331453085,0.001
28672,4.967514991760254,0.04106701537966728,-0.00225830078125,-0.005898008123040199,0.1,0.7408182206817179,0.0,0.00225830078125,-0.058980077505111694,0.7751915454864502,0.062487587332725525,240.0,0.0002603649472196897,-0.00027298834174871445,0.08426475524902344,-0.013018290512263775,0.001
30720,5.134359359741211,0.04322497919201851,-0.00311279296875,-0.006321511697024107,0.1,0.6872892787909722,0.0,0.00311279296875,-0.06321511417627335,0.7688193321228027,0.050106193870306015,240.0,0.00020877580779294174,-0.002664303407073021,0.09807632863521576,-0.012891868129372597,0.001
32768,5.049323558807373,0.0420113131403923,-0.0025634765625,-0.00545012392103672,0.1,0.6376281516217733,0.0,0.0025634765625,-0.054501235485076904,0.763824462890625,0.0493522547185421,240.0,0.00020563439466059208,-0.0030609415844082832,0.13957199454307556,-0.012923143804073334,0.001
34816,5.280337810516357,0.04473164305090904,-0.00347900390625,-0.007301729172468185,0.1,0.5915553643668151,0.0,0.00341796875,-0.07301728427410126,0.7635334134101868,0.04645448550581932,240.0,0.00019356035627424717,-0.001961078494787216,0.162228524684906,-0.01278979517519474,0.001
