step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy
2048,-3.8185343742370605,0.004042211454361677,-0.03387451171875,0.0,0.0,0.0,0.0,0.033538818359375,-0.004450766835361719,0.8476173281669617,106.9765625,240.0,0.44573567708333334,-0.003565879538655281,0.3185105621814728,-0.01316775567829609
4096,-3.1294469833374023,0.009608813561499119,-0.0340576171875,-0.00025979653582908213,0.019543171725931667,0.0,0.0,0.033660888671875,-0.013293469324707985,0.8456168174743652,107.234375,240.0,0.44680989583333336,-0.002964956685900688,0.3354915380477905,-0.0132073275744915
6144,-1.7434160709381104,0.012929854914546013,-0.02655029296875,0.00011124998127343133,0.008180807676421207,0.0,0.0,0.0263671875,0.01359890028834343,0.844403088092804,101.3212890625,240.0,0.4221720377604167,-0.00048455409705638885,0.2559375762939453,-0.01324144285172224
8192,-1.722269892692566,0.001498380210250616,-0.01495361328125,6.342906272038817e-05,0.004935745201073587,0.0,0.0,0.014892578125,0.012850959785282612,0.8378487825393677,93.5107421875,240.0,0.3896280924479167,-0.005288372281938791,0.1391107141971588,-0.013324804604053497
10240,-0.678193986415863,0.011791452765464783,-0.01708984375,0.0003058625152334571,0.0046727143228054045,0.0,0.0,0.017059326171875,0.06545713543891907,0.8373621702194214,100.7275390625,240.0,0.4196980794270833,-0.0037069441750645638,0.16058918833732605,-0.013209991157054901
