step,communication_cost,communication_ratio,sparse_edges,full_graph_edges
2048,30.5693359375,0.12737223307291667,30.5693359375,240.0
4096,26.732421875,0.11138509114583334,26.732421875,240.0
6144,25.54296875,0.10642903645833333,25.54296875,240.0
8192,24.2568359375,0.10107014973958334,24.2568359375,240.0
10240,26.40234375,0.110009765625,26.40234375,240.0
12288,24.76953125,0.10320638020833334,24.76953125,240.0
14336,23.7236328125,0.09884847005208333,23.7236328125,240.0
16384,26.0029296875,0.10834554036458334,26.0029296875,240.0
18432,26.0869140625,0.10869547526041666,26.0869140625,240.0
20480,28.10546875,0.11710611979166667,28.10546875,240.0
22528,32.6279296875,0.13594970703125,32.6279296875,240.0
24576,32.078125,0.13365885416666667,32.078125,240.0
26624,35.123046875,0.14634602864583332,35.123046875,240.0
28672,40.3984375,0.16832682291666667,40.3984375,240.0
30720,40.8408203125,0.17017008463541666,40.8408203125,240.0
32768,46.287109375,0.19286295572916667,46.287109375,240.0
34816,41.9404296875,0.17475179036458333,41.9404296875,240.0
36864,40.4296875,0.16845703125,40.4296875,240.0
38912,45.72265625,0.19051106770833334,45.72265625,240.0
40960,50.193359375,0.20913899739583333,50.193359375,240.0
43008,51.6005859375,0.21500244140625,51.6005859375,240.0
45056,50.6953125,0.21123046875,50.6953125,240.0
47104,49.5771484375,0.20657145182291667,49.5771484375,240.0
49152,47.89453125,0.199560546875,47.89453125,240.0
51200,50.38671875,0.20994466145833332,50.38671875,240.0
53248,52.294921875,0.2178955078125,52.294921875,240.0
55296,50.4208984375,0.21008707682291666,50.4208984375,240.0
57344,48.4794921875,0.20199788411458333,48.4794921875,240.0
59392,45.8037109375,0.19084879557291667,45.8037109375,240.0
61440,45.44921875,0.18937174479166666,45.44921875,240.0
63488,46.1669921875,0.19236246744791666,46.1669921875,240.0
65536,45.359375,0.18899739583333333,45.359375,240.0
67584,46.1396484375,0.19224853515625,46.1396484375,240.0
69632,44.3203125,0.18466796875,44.3203125,240.0
71680,41.81640625,0.17423502604166666,41.81640625,240.0
73728,42.2509765625,0.17604573567708334,42.2509765625,240.0
75776,45.0009765625,0.18750406901041666,45.0009765625,240.0
77824,48.720703125,0.2030029296875,48.720703125,240.0
79872,47.5107421875,0.19796142578125,47.5107421875,240.0
81920,45.134765625,0.1880615234375,45.134765625,240.0
83968,44.0986328125,0.18374430338541667,44.0986328125,240.0
86016,46.2431640625,0.19267985026041667,46.2431640625,240.0
88064,45.87890625,0.191162109375,45.87890625,240.0
90112,47.033203125,0.1959716796875,47.033203125,240.0
92160,44.1962890625,0.18415120442708333,44.1962890625,240.0
94208,46.412109375,0.1933837890625,46.412109375,240.0
96256,42.84375,0.178515625,42.84375,240.0
98304,46.298828125,0.19291178385416666,46.298828125,240.0
100352,44.2294921875,0.18428955078125,44.2294921875,240.0
102400,46.95703125,0.195654296875,46.95703125,240.0
