mode,K,fraction,reward_mean,reward_std,success_mean,success_std,comm_cost_mean,comm_cost_std,n_seeds
full_support_ref,,1.0,6.098309911356774,0.45357628197793914,0.127734375,0.01784091757292068,42.71015625,1.2435694884612745,5
fixed_k,1,0.3560627748044222,6.352092669904232,0.3428317553691031,0.127734375,0.01535906504010742,15.19599609375,0.10739195250866355,5
fixed_k,2,0.6436024310998226,6.1825537730124775,0.5197853823688896,0.126953125,0.01777236432199582,27.46484375,0.3439955787818145,5
fixed_k,4,0.9458317460430299,6.284653455740772,0.3244263619613582,0.1265625,0.02636067627937967,40.377734375,1.3513523039788677,5
fixed_k,6,0.9972765121257232,6.12600986470934,0.4380772421844565,0.130078125,0.01959365031872571,42.5916015625,1.407852907267729,5
ratio,,0.1,6.245975618576631,0.5036818576208084,0.12265625,0.02568637847308374,15.1892578125,0.13302724195002344,5
ratio,,0.2,6.2512398739112545,0.371043047094475,0.121875,0.012389649630588832,15.69560546875,0.2015291408168771,5
ratio,,0.4,6.237557078152895,0.47418905565333036,0.119140625,0.009568319307746789,24.0740234375,0.27151504014088257,5
ratio,,0.6,6.144913188554346,0.2636314613989518,0.13203125,0.018512493142301228,32.69365234375,1.080331224583262,5
ratio,,0.8,6.197177884355187,0.5191064778871161,0.128515625,0.02474849072102681,41.18251953125,1.4863810072926564,5
