step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy,lambda_comm,lambda_u,lambda_rank,utility_warmup_steps,utility_mean,utility_std,gate_mass,utility_corr,comm_precision,cud,utility_loss
2048,-9.14132308959961,-0.03790828585624695,-0.03350830078125,0.006940673105418682,0.1,0.1,0.0,0.03338623046875,0.06940673291683197,0.8464317321777344,12.754980087280273,240.0,0.0531457503636678,-0.002885324414819479,0.37409162521362305,-0.013235380873084068,0.0,0.5,0.1,20000.0,0.40081483125686646,0.012139665894210339,11.426274299621582,-0.4920840859413147,0.0211267601698637,0.09511794149875641,0.10860425233840942
4096,-6.2708587646484375,-0.028422236442565918,-0.02056884765625,0.0024665091186761856,0.1,0.2,0.0,0.020477294921875,0.024665091186761856,0.8394688367843628,11.818145751953125,240.0,0.04924227396647136,-0.002311225049197674,0.23540765047073364,-0.013254343532025814,0.0,0.5,0.1,20000.0,0.23081552982330322,0.016445957124233246,8.471779823303223,-0.22016379237174988,0.0,0.09954382479190826,0.032415181398391724
6144,-5.541407585144043,-0.027240004390478134,-0.01605224609375,0.0024139215238392353,0.1,0.3,0.0,0.0159912109375,0.024139218032360077,0.8355700969696045,11.17880916595459,240.0,0.04657837152481079,-0.003293063957244158,0.2345472276210785,-0.013211837969720364,0.0,0.5,0.1,20000.0,0.11048512905836105,0.014821902848780155,7.283041000366211,-0.5194732546806335,0.5833333134651184,0.33269232511520386,0.04854341968894005
8192,-4.3462371826171875,-0.022358298301696777,-0.0115966796875,0.0025127127300947905,0.1,0.4,0.0,0.011566162109375,0.025127127766609192,0.8365989327430725,10.373598098754883,240.0,0.04322332541147868,-0.004691716283559799,0.1774269938468933,-0.013260936364531517,0.0,0.5,0.1,20000.0,0.18420735001564026,0.03696943819522858,7.557361602783203,0.5522252321243286,0.5483871102333069,0.29005515575408936,0.035342030227184296
10240,-4.019473075866699,-0.01998855732381344,-0.01141357421875,0.0033757388591766357,0.1,0.5,0.0,0.01141357421875,0.03375738859176636,0.8351648449897766,11.162927627563477,240.0,0.04651219844818115,-0.0016437843441963196,0.16077165305614471,-0.013279703445732594,0.0,0.5,0.1,20000.0,0.19830887019634247,0.03610779717564583,8.476296424865723,-0.3555853068828583,0.5128205418586731,0.2320532649755478,0.032491207122802734
12288,-2.9557909965515137,-0.01607307605445385,-0.00701904296875,0.0021416624076664448,0.1,0.6,0.0,0.006988525390625,0.021416623145341873,0.828748345375061,11.520543098449707,240.0,0.048002262910207115,-0.006172500550746918,0.11055466532707214,-0.013277091085910797,0.0,0.5,0.1,20000.0,0.15411175787448883,0.010536915622651577,8.93989086151123,0.16488239169120789,0.25,0.21424415707588196,0.026979193091392517
14336,-0.974193811416626,-0.0026060070376843214,-0.0050048828125,0.0017390495631843805,0.1,0.7,0.0,0.0050048828125,0.017390497028827667,0.8208571076393127,12.783825874328613,240.0,0.053265941143035886,-0.004326505586504936,0.07693064212799072,-0.013213792815804482,0.0,0.5,0.1,20000.0,0.14971575140953064,0.011369677260518074,12.012456893920898,0.21670159697532654,0.12903225421905518,0.1448497474193573,0.014771556481719017
16384,0.4997755289077759,0.007444534916430712,-0.0035400390625,0.0014044088311493397,0.1,0.8,0.0,0.0035400390625,0.014044087380170822,0.8180351853370667,13.769442558288574,240.0,0.057372677326202395,-0.0024224109947681427,0.06013093143701553,-0.013331404887139797,0.0,0.5,0.1,20000.0,0.12747274339199066,0.013207127340137959,12.841180801391602,0.12115483731031418,0.014925372786819935,0.11636963486671448,0.008328180760145187
18432,1.5811407566070557,0.016075804829597473,-0.00372314453125,-0.0003873517271131277,0.1,0.9,0.0,0.003662109375,-0.0038735168054699898,0.8113910555839539,14.080442428588867,240.0,0.05866851011912028,-0.003567282110452652,0.0621027797460556,-0.01329882349818945,0.0,0.5,0.1,20000.0,0.10027355700731277,0.011776404455304146,13.883634567260742,0.1331658512353897,0.05747126415371895,0.11788801848888397,0.007633596658706665
20480,2.596991539001465,0.023462822660803795,-0.003173828125,0.000826705654617399,0.1,1.0,0.0,0.003173828125,0.008267056196928024,0.8052904605865479,10.902048110961914,240.0,0.04542520046234131,-0.0007099742069840431,0.04648694023489952,-0.013178041204810143,5e-05,0.5,0.1,20000.0,0.10093817859888077,0.011030670255422592,12.341560363769531,0.19536803662776947,0.0,0.11064737290143967,0.00804058089852333
