step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,success_rate,collision_rate,action_alignment,path_length,loss_objective,loss_critic,loss_entropy
2048,-0.617798388004303,-0.003117565531283617,-0.001708984375,0.00158825539983809,0.1,0.0,0.001708984375,0.015882553532719612,0.8544728755950928,-0.025274895131587982,0.036267101764678955,-0.01297628041356802
4096,-1.943358063697815,-0.005172720178961754,-0.010009765625,0.00890124961733818,0.1,0.0,0.010009765625,0.0890124961733818,0.8506720066070557,-0.015944991260766983,0.12151122838258743,-0.012739783152937889
6144,-3.101907730102539,-0.012026622891426086,-0.01220703125,0.02054593712091446,0.1,0.0,0.0120849609375,0.2054593563079834,0.841721773147583,-0.009187424555420876,0.1096164658665657,-0.011932112276554108
8192,-4.297557830810547,-0.018437951803207397,-0.01513671875,0.025531357154250145,0.1,0.0,0.0147705078125,0.25531357526779175,0.8449537754058838,-0.007748302072286606,0.1814461052417755,-0.011910113506019115
10240,-3.7320380210876465,-0.025738578289747238,-0.00341796875,0.03339871019124985,0.1,0.0,0.00341796875,0.3339870572090149,0.8502020835876465,-0.01813533343374729,0.06235519051551819,-0.010935124009847641
