step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy
2048,-4.164618968963623,-0.014103466644883156,-0.0184326171875,0.0006194332963787019,0.1,0.1,0.0,0.01837158203125,0.0061943321488797665,0.8389387130737305,6.447265625,56.0,0.11512974330357142,-0.00401151180267334,0.1860782951116562,-0.013325940817594528
4096,-3.110046148300171,-0.005864621140062809,-0.0184326171875,-0.005397357512265444,0.1,0.2,0.0,0.0184326171875,-0.053973570466041565,0.8317635655403137,6.5224609375,56.0,0.11647251674107142,-0.004516217391937971,0.213882178068161,-0.013279527425765991
6144,-1.4851863384246826,0.0032895600888878107,-0.014892578125,-0.00668832054361701,0.1,0.3,0.0,0.0146484375,-0.06688320636749268,0.8273848295211792,7.2177734375,56.0,0.12888881138392858,-0.0031908350065350533,0.1548699140548706,-0.013290813192725182
8192,-1.5083096027374268,0.0021323487162590027,-0.013916015625,-0.005188595037907362,0.1,0.4,0.0,0.013671875,-0.05188595503568649,0.8257342576980591,6.2529296875,56.0,0.11165945870535714,-0.005146456882357597,0.14704850316047668,-0.013265138491988182
10240,0.25190192461013794,0.014297084882855415,-0.0123291015625,-0.005086812656372786,0.1,0.5,0.0,0.0123291015625,-0.05086812376976013,0.8257426023483276,6.2783203125,56.0,0.11211286272321429,-0.0064388723112642765,0.1387529969215393,-0.013372428715229034
12288,0.7282286882400513,0.011792803183197975,-0.006103515625,-0.0030027893371880054,0.1,0.6,0.0,0.006103515625,-0.03002789057791233,0.8281814455986023,5.5673828125,56.0,0.09941755022321429,-0.0052776942029595375,0.06270433217287064,-0.013200651854276657
14336,0.5660115480422974,0.015408294275403023,-0.010986328125,-0.004227060824632645,0.1,0.7,0.0,0.01092529296875,-0.042270611971616745,0.8197774887084961,6.4462890625,56.0,0.1151123046875,-0.007245197892189026,0.10643830895423889,-0.013230154290795326
16384,2.054102897644043,0.021418772637844086,-0.00537109375,-0.004489407874643803,0.1,0.8,0.0,0.00531005859375,-0.04489407688379288,0.8202643394470215,7.0,56.0,0.125,-0.004670851863920689,0.0676768347620964,-0.013077432289719582
18432,2.55277419090271,0.02360565774142742,-0.003662109375,-0.005512063391506672,0.1,0.9,0.0,0.003662109375,-0.05512063205242157,0.8197046518325806,7.8017578125,56.0,0.13931710379464285,-0.00389711931347847,0.0415918231010437,-0.01286824606359005
20480,3.232351303100586,0.02867071144282818,-0.00341796875,-0.005707907490432262,0.1,1.0,0.0,0.00341796875,-0.05707907676696777,0.8174394369125366,9.1640625,56.0,0.16364397321428573,-0.003154892474412918,0.07618137449026108,-0.012757659889757633
22528,2.7103171348571777,0.0309399776160717,-0.009765625,-0.008429152891039848,0.1,0.9277434863285529,0.0,0.00946044921875,-0.08429153263568878,0.8105182647705078,11.4375,56.0,0.20424107142857142,-0.0029438212513923645,0.11966517567634583,-0.012709897942841053
24576,2.954857349395752,0.02857798896729946,-0.0054931640625,-0.010854445397853851,0.1,0.8607079764250578,0.0,0.00537109375,-0.10854445397853851,0.8145142197608948,9.0390625,56.0,0.16141183035714285,-0.0026883408427238464,0.08794983476400375,-0.012746978551149368
26624,2.7424888610839844,0.029970617964863777,-0.008544921875,-0.0121627077460289,0.1,0.7985162187593771,0.0,0.00848388671875,-0.1216270700097084,0.8151540756225586,11.275390625,56.0,0.20134626116071427,-0.0033223917707800865,0.09295203536748886,-0.012684972956776619
28672,2.49715518951416,0.030129140242934227,-0.0106201171875,-0.011333276517689228,0.1,0.7408182206817179,0.0,0.00994873046875,-0.11333276331424713,0.8021763563156128,12.1298828125,56.0,0.21660505022321427,-0.005950212478637695,0.13593009114265442,-0.012600673362612724
30720,3.0688538551330566,0.025562334805727005,-0.0015869140625,-0.012067379429936409,0.1,0.6872892787909722,0.0,0.0015869140625,-0.12067379802465439,0.8089896440505981,7.4638671875,56.0,0.13328334263392858,-0.00014858506619930267,0.06106848269701004,-0.012947870418429375
32768,3.608978748321533,0.030270341783761978,-0.0020751953125,-0.013543153181672096,0.1,0.6376281516217733,0.0,0.0020751953125,-0.13543152809143066,0.8082584142684937,9.34765625,56.0,0.16692243303571427,-0.004257132764905691,0.057054899632930756,-0.012923265807330608
34816,3.735823154449463,0.03052888996899128,-0.0013427734375,-0.008811244741082191,0.1,0.5915553643668151,0.0,0.0013427734375,-0.08811245113611221,0.7982978820800781,11.279296875,56.0,0.201416015625,-0.0018434152007102966,0.07145647704601288,-0.012784617021679878
36864,3.7808942794799805,0.03234585374593735,-0.0028076171875,-0.011797057464718819,0.1,0.5488116360940264,0.0,0.0028076171875,-0.11797057092189789,0.7952015399932861,10.283203125,56.0,0.18362862723214285,0.0021569402888417244,0.07247115671634674,-0.01269527617841959
38912,4.257654666900635,0.03570432960987091,-0.00244140625,-0.010616256855428219,0.1,0.5091564206075492,0.0,0.00244140625,-0.10616256296634674,0.7878705263137817,7.833984375,56.0,0.139892578125,-0.0038927309215068817,0.09628674387931824,-0.012675047852098942
40960,4.3886566162109375,0.03648364171385765,-0.002197265625,-0.007312646135687828,0.1,0.4723665527410147,0.0,0.002197265625,-0.07312646508216858,0.7950275540351868,8.9345703125,56.0,0.1595458984375,-0.003326360136270523,0.1309812068939209,-0.012761298567056656
43008,5.257154941558838,0.04339085891842842,-0.0023193359375,-0.009056503884494305,0.1,0.4382349924649492,0.0,0.0023193359375,-0.0905650332570076,0.7830941677093506,9.7685546875,56.0,0.1744384765625,-0.0026496797800064087,0.12807242572307587,-0.012375232763588428
45056,4.039829730987549,0.04157093167304993,-0.010009765625,-0.00960765965282917,0.1,0.40656965974059917,0.0,0.00982666015625,-0.0960765928030014,0.7857866287231445,12.4052734375,56.0,0.22152273995535715,-0.002167130820453167,0.19061648845672607,-0.012363580986857414
47104,4.448864459991455,0.03670987859368324,-0.001953125,-0.009554297663271427,0.1,0.3771923535631569,0.0,0.00189208984375,-0.09554297477006912,0.7768672108650208,8.4736328125,56.0,0.15131487165178573,-0.0009554736316204071,0.12967488169670105,-0.012576830573379993
49152,4.731563091278076,0.03891846165060997,-0.001953125,-0.010588305070996284,0.1,0.34993774911115544,0.0,0.001953125,-0.10588304698467255,0.7680349349975586,8.7373046875,56.0,0.15602329799107142,-0.0030894139781594276,0.1246226578950882,-0.012508885934948921
51200,5.364541053771973,0.043253250420093536,-0.0013427734375,-0.012238526716828346,0.1,0.32465246735834974,0.0,0.0013427734375,-0.12238525599241257,0.770369291305542,10.5458984375,56.0,0.18831961495535715,-0.0005102120339870453,0.11417673528194427,-0.01253516785800457
53248,4.797662734985352,0.04041142761707306,-0.0029296875,-0.013092612847685814,0.1,0.301194211912202,0.0,0.0029296875,-0.13092613220214844,0.7741681337356567,9.5380859375,56.0,0.17032296316964285,-0.002858072053641081,0.13268201053142548,-0.012610123492777348
55296,4.979782581329346,0.04354322701692581,-0.004638671875,-0.01092484313994646,0.1,0.27943096822140734,0.0,0.0045166015625,-0.10924842953681946,0.7612823247909546,10.736328125,56.0,0.19172014508928573,-0.0044259727001190186,0.17249485850334167,-0.01245793141424656
57344,4.907374382019043,0.04236718267202377,-0.0040283203125,-0.010831326246261597,0.1,0.2592402606458915,0.0,0.0040283203125,-0.10831324756145477,0.7570879459381104,11.3154296875,56.0,0.20206124441964285,-0.002895887941122055,0.1843879520893097,-0.012390338815748692
59392,4.86604118347168,0.0415559858083725,-0.0035400390625,-0.007342522032558918,0.1,0.24050846320834218,0.0,0.0035400390625,-0.07342521846294403,0.7569047212600708,11.22265625,56.0,0.20040457589285715,-0.0027340175583958626,0.11948338150978088,-0.012445011176168919
61440,5.073925971984863,0.041349031031131744,-0.001708984375,-0.010198615491390228,0.1,0.22313016014842982,0.0,0.001708984375,-0.10198615491390228,0.7514293193817139,10.9931640625,56.0,0.19630650111607142,-0.0023284144699573517,0.11216557025909424,-0.01263635978102684
63488,4.917546272277832,0.04049352556467056,-0.0020751953125,-0.009829165413975716,0.1,0.2070075526811526,0.0,0.0020751953125,-0.09829165041446686,0.755613386631012,10.8154296875,56.0,0.19313267299107142,-0.004465417005121708,0.18422196805477142,-0.012406675145030022
65536,4.739461898803711,0.04337469860911369,-0.00634765625,-0.008530125953257084,0.1,0.19204990862075408,0.0,0.00634765625,-0.08530125021934509,0.7508161664009094,11.005859375,56.0,0.196533203125,-0.0030589327216148376,0.1821911334991455,-0.012498099356889725
67584,5.094517707824707,0.042730607092380524,-0.0029296875,-0.010768553242087364,0.1,0.17817305177289844,0.0,0.0029296875,-0.10768552869558334,0.751372754573822,12.826171875,56.0,0.22903878348214285,-0.0017836801707744598,0.17897886037826538,-0.012176082469522953
69632,5.355014801025391,0.042934685945510864,-0.0010986328125,-0.011671061627566814,0.1,0.16529888822158656,0.0,0.0010986328125,-0.1167106032371521,0.7466683387756348,10.720703125,56.0,0.19144112723214285,-0.0004702233709394932,0.1718302071094513,-0.01230101753026247
71680,5.574030876159668,0.045622311532497406,-0.0020751953125,-0.012700282037258148,0.1,0.15335496684492847,0.0,0.0020751953125,-0.12700282037258148,0.7480958700180054,9.9462890625,56.0,0.1776123046875,-0.002762090414762497,0.1619095802307129,-0.012225532904267311
73728,5.2377777099609375,0.045558810234069824,-0.004638671875,-0.0146902771666646,0.1,0.14227407158651353,0.0,0.004638671875,-0.14690276980400085,0.7452090382575989,12.9189453125,56.0,0.23069545200892858,-0.002397925825789571,0.2006913721561432,-0.01200161688029766
75776,5.429409980773926,0.046323511749506,-0.00390625,-0.01384665071964264,0.1,0.13199384318783017,0.0,0.00390625,-0.1384665071964264,0.7429186701774597,9.2841796875,56.0,0.16578892299107142,-0.000939514022320509,0.2236059606075287,-0.01217116042971611
77824,4.8498430252075195,0.040208734571933746,-0.0023193359375,-0.011847824789583683,0.1,0.12245642825298195,0.0,0.0023193359375,-0.11847824603319168,0.7364372611045837,11.2705078125,56.0,0.20125906808035715,-0.002501949667930603,0.20391800999641418,-0.012197375297546387
79872,5.516100883483887,0.04443731904029846,-0.0013427734375,-0.010559463873505592,0.1,0.11360815367076377,0.0,0.0013427734375,-0.10559463500976562,0.7320598363876343,9.4677734375,56.0,0.1690673828125,-0.0023059132508933544,0.1967889368534088,-0.011988360434770584
81920,5.821959495544434,0.04597233980894089,-0.00048828125,-0.010622875764966011,0.1,0.10539922456186433,0.0,0.00048828125,-0.10622875392436981,0.7300965785980225,9.20703125,56.0,0.16441127232142858,-0.0008594989776611328,0.14363375306129456,-0.011874878779053688
83968,5.58072566986084,0.04591875523328781,-0.0023193359375,-0.010890589095652103,0.1,0.09778344405135005,0.0,0.0023193359375,-0.10890588164329529,0.7173986434936523,9.82421875,56.0,0.17543247767857142,-0.0018903277814388275,0.2227901816368103,-0.012056110426783562
