step,episode_reward_mean,loss_objective,loss_critic,loss_entropy
2048,-0.5467103123664856,-0.005144043825566769,0.019420690834522247,-0.013044096529483795
4096,-0.9096143245697021,-0.0012356629595160484,0.10626780241727829,-0.013093214482069016
6144,-2.0355260372161865,-0.0025625673588365316,0.26517564058303833,-0.013047166168689728
8192,-0.9243769645690918,-0.0007193535566329956,0.14192555844783783,-0.01301894523203373
10240,-0.44156140089035034,-0.01185801811516285,0.11979606002569199,-0.013174916617572308
12288,0.4941049814224243,-0.005292093381285667,0.037839457392692566,-0.013185663148760796
14336,0.05500634387135506,-0.0034155105240643024,0.1316933035850525,-0.013125456869602203
16384,-0.290229469537735,-0.0031984983943402767,0.13195572793483734,-0.013227553106844425
18432,0.7198699116706848,-0.0038098935037851334,0.08399215340614319,-0.013114502653479576
20480,0.7131654024124146,-0.002092026174068451,0.0700991302728653,-0.01314031146466732
