step,episode_reward_mean,loss_objective,loss_critic,loss_entropy
2048,-5.680719375610352,-0.0038617458194494247,0.3105177879333496,-0.013193422928452492
4096,-4.87674617767334,-0.0017765709199011326,0.29546427726745605,-0.013262310065329075
6144,-3.427597999572754,-0.0015035336837172508,0.22405841946601868,-0.013300206512212753
8192,-3.49198055267334,-0.0030362701509147882,0.16361543536186218,-0.01342511735856533
10240,-2.392845869064331,-0.002836991101503372,0.15555734932422638,-0.013381130062043667
12288,-2.646287202835083,-0.0031074127182364464,0.15791508555412292,-0.013465335592627525
14336,-1.3618661165237427,-0.0035272398963570595,0.09368331730365753,-0.013353290036320686
16384,-1.1321537494659424,-0.0033797919750213623,0.06733854115009308,-0.013374211266636848
18432,0.24001345038414001,-0.005129172466695309,0.075621098279953,-0.01333701889961958
20480,0.4912499189376831,-0.0028405413031578064,0.0438908115029335,-0.013410201296210289
22528,1.9261929988861084,-0.0032889768481254578,0.04816442355513573,-0.013307817280292511
24576,3.298488140106201,-0.0031487545929849148,0.04636643826961517,-0.013230664655566216
26624,3.791527032852173,-0.0014128312468528748,0.08133672177791595,-0.013241229578852654
28672,4.261435508728027,-0.00112096406519413,0.07416597008705139,-0.013030104339122772
30720,5.232329368591309,-0.0017588064074516296,0.12149083614349365,-0.01307138055562973
32768,5.044322490692139,-0.001248648390173912,0.09450981020927429,-0.01302801351994276
34816,5.300300598144531,-0.0004179803654551506,0.1377076953649521,-0.012999331578612328
36864,5.547161102294922,-0.0009922231547534466,0.10400669276714325,-0.012966763228178024
38912,5.668166160583496,-0.0010424349457025528,0.11274310201406479,-0.012877770699560642
40960,6.434427261352539,-0.0015553515404462814,0.1310374140739441,-0.012711716815829277
43008,6.1402974128723145,-0.0014073019847273827,0.12337708473205566,-0.012794874608516693
45056,6.446732521057129,-0.0014687422662973404,0.1228543296456337,-0.012748420238494873
47104,5.892167091369629,-0.0006074272096157074,0.09057621657848358,-0.012677384540438652
49152,6.295938491821289,-0.0012504588812589645,0.11065360903739929,-0.012570719234645367
51200,6.646848201751709,-0.0005834028124809265,0.1327556073665619,-0.012650984339416027
53248,6.383244514465332,-0.0017114952206611633,0.17853087186813354,-0.012532170861959457
55296,6.410987854003906,-0.0007958300411701202,0.14434513449668884,-0.012564227916300297
57344,6.021308898925781,-0.0018624700605869293,0.08469584584236145,-0.012478547170758247
59392,6.0765790939331055,-0.00020800158381462097,0.09799271076917648,-0.012514827772974968
61440,6.083585739135742,-0.0017141299322247505,0.1039392277598381,-0.012600467540323734
63488,6.958764553070068,-0.0005472991615533829,0.07910481095314026,-0.012246544472873211
65536,7.290209770202637,-0.00022907555103302002,0.08931821584701538,-0.012384984642267227
67584,7.097731113433838,-0.001276424154639244,0.17633657157421112,-0.012262321077287197
69632,7.696589469909668,-0.0011061467230319977,0.13304373621940613,-0.01215105690062046
71680,7.789083957672119,-0.0010999906808137894,0.1729143261909485,-0.011913763359189034
73728,7.584056377410889,-0.001288948580622673,0.18301242589950562,-0.012072158046066761
75776,7.981777191162109,-0.002348344773054123,0.1748456209897995,-0.012131202965974808
77824,8.202818870544434,-0.0008891299366950989,0.22330445051193237,-0.012025399133563042
79872,7.70620059967041,-0.0011640824377536774,0.24866332113742828,-0.012091240845620632
81920,8.416548728942871,-0.0005583502352237701,0.2473427802324295,-0.011858892627060413
83968,8.795116424560547,0.001701896544545889,0.23941348493099213,-0.01177210547029972
86016,8.112378120422363,-0.0016866568475961685,0.2889329791069031,-0.0117157232016325
88064,8.833345413208008,0.00043558143079280853,0.2858906388282776,-0.011616697534918785
90112,8.79443073272705,-0.002706669270992279,0.2779724597930908,-0.01165549736469984
92160,8.497265815734863,0.00032121501863002777,0.27536678314208984,-0.011534841731190681
94208,9.031535148620605,-0.000524936243891716,0.25605273246765137,-0.011731552891433239
96256,8.247960090637207,-0.0018941573798656464,0.1755719780921936,-0.01169415470212698
98304,8.830329895019531,-0.0011818748898804188,0.11251232028007507,-0.01147034578025341
100352,8.93008804321289,-0.0011710580438375473,0.15438026189804077,-0.011382551863789558
102400,9.755144119262695,-0.000443311408162117,0.13836631178855896,-0.011632610112428665
