step,communication_cost,communication_ratio,sparse_edges,full_graph_edges
2048,0.5859375,0.048828125,0.5859375,12.0
4096,0.685546875,0.05712890625,0.685546875,12.0
6144,0.7880859375,0.065673828125,0.7880859375,12.0
8192,0.82421875,0.06868489583333333,0.82421875,12.0
10240,0.8271484375,0.06892903645833333,0.8271484375,12.0
12288,1.462890625,0.12190755208333333,1.462890625,12.0
14336,0.9423828125,0.07853190104166667,0.9423828125,12.0
16384,0.9423828125,0.07853190104166667,0.9423828125,12.0
18432,0.732421875,0.06103515625,0.732421875,12.0
20480,0.6015625,0.050130208333333336,0.6015625,12.0
22528,1.01953125,0.0849609375,1.01953125,12.0
24576,0.640625,0.053385416666666664,0.640625,12.0
26624,0.775390625,0.06461588541666667,0.775390625,12.0
28672,1.3994140625,0.11661783854166667,1.3994140625,12.0
30720,0.9013671875,0.07511393229166667,0.9013671875,12.0
32768,0.962890625,0.08024088541666667,0.962890625,12.0
34816,0.6943359375,0.057861328125,0.6943359375,12.0
36864,1.0185546875,0.08487955729166667,1.0185546875,12.0
38912,0.66015625,0.055013020833333336,0.66015625,12.0
40960,1.0439453125,0.08699544270833333,1.0439453125,12.0
43008,0.71875,0.059895833333333336,0.71875,12.0
45056,0.880859375,0.07340494791666667,0.880859375,12.0
47104,1.216796875,0.10139973958333333,1.216796875,12.0
49152,0.60546875,0.050455729166666664,0.60546875,12.0
51200,1.3134765625,0.10945638020833333,1.3134765625,12.0
53248,0.9619140625,0.08015950520833333,0.9619140625,12.0
55296,1.005859375,0.08382161458333333,1.005859375,12.0
57344,1.61328125,0.13444010416666666,1.61328125,12.0
59392,1.2236328125,0.10196940104166667,1.2236328125,12.0
61440,0.970703125,0.08089192708333333,0.970703125,12.0
63488,1.7099609375,0.14249674479166666,1.7099609375,12.0
65536,1.271484375,0.10595703125,1.271484375,12.0
67584,1.775390625,0.14794921875,1.775390625,12.0
69632,1.1337890625,0.094482421875,1.1337890625,12.0
71680,1.1796875,0.09830729166666667,1.1796875,12.0
73728,0.94921875,0.0791015625,0.94921875,12.0
75776,1.2470703125,0.10392252604166667,1.2470703125,12.0
77824,1.2431640625,0.10359700520833333,1.2431640625,12.0
79872,1.509765625,0.12581380208333334,1.509765625,12.0
81920,0.69140625,0.0576171875,0.69140625,12.0
83968,0.9677734375,0.08064778645833333,0.9677734375,12.0
86016,1.287109375,0.10725911458333333,1.287109375,12.0
88064,1.306640625,0.10888671875,1.306640625,12.0
90112,1.0283203125,0.085693359375,1.0283203125,12.0
92160,0.7373046875,0.061442057291666664,0.7373046875,12.0
94208,1.1240234375,0.09366861979166667,1.1240234375,12.0
96256,1.220703125,0.10172526041666667,1.220703125,12.0
98304,1.083984375,0.09033203125,1.083984375,12.0
100352,1.2685546875,0.105712890625,1.2685546875,12.0
102400,1.060546875,0.08837890625,1.060546875,12.0
