step,episode_reward_mean,loss_objective,loss_critic,loss_entropy
2048,-1.4367223978042603,-0.006610477343201637,0.0675424188375473,-0.012917326763272285
4096,-0.8368278741836548,-0.0043663932010531425,0.10734483599662781,-0.012772174552083015
6144,-0.20584362745285034,-0.007394507527351379,0.11162366718053818,-0.012813461944460869
8192,-1.503381371498108,-0.004805323667824268,0.2188374102115631,-0.013076838105916977
10240,-0.4419825077056885,-0.007078548893332481,0.1336924284696579,-0.012761019170284271
12288,0.721325159072876,-0.00130205147434026,0.0874118059873581,-0.012748842127621174
14336,-0.1096024364233017,-0.0038494477048516273,0.21923625469207764,-0.012814173474907875
16384,0.17691412568092346,-0.002424269914627075,0.14998644590377808,-0.013076533563435078
18432,1.2439930438995361,-0.004699765704572201,0.07807358354330063,-0.012849858030676842
20480,0.8003162145614624,-0.0030692610889673233,0.17612645030021667,-0.012809518724679947
22528,1.394402265548706,-0.004338694736361504,0.09692344069480896,-0.012469232082366943
24576,0.5735685229301453,-0.0032170861959457397,0.15333615243434906,-0.012950425036251545
26624,0.4406886100769043,-0.003224331885576248,0.1295434534549713,-0.012791438028216362
28672,1.196221947669983,-0.0009103566408157349,0.10397395491600037,-0.012528019025921822
30720,2.039947509765625,-0.002078847959637642,0.09998372197151184,-0.012518532574176788
32768,1.4590082168579102,-0.00010471884161233902,0.1317395269870758,-0.012627326883375645
34816,1.1636284589767456,-0.0044897207990288734,0.12571308016777039,-0.012660565786063671
36864,1.4544183015823364,-0.002973325550556183,0.10559728741645813,-0.012893978506326675
38912,0.956526517868042,-0.006180747412145138,0.1362183690071106,-0.013164748437702656
40960,1.2083170413970947,-0.0029968111775815487,0.10055971890687943,-0.012985147535800934
43008,1.5560038089752197,-0.005747176706790924,0.0759570449590683,-0.012828810140490532
45056,1.803720474243164,-0.005051977466791868,0.08903980255126953,-0.012754851952195168
47104,1.8991284370422363,-0.0014704512432217598,0.04358828812837601,-0.012570150196552277
49152,1.9816802740097046,-0.0033477379474788904,0.11794991791248322,-0.012624520808458328
51200,2.0958943367004395,-0.005145019851624966,0.05799800157546997,-0.012408023700118065
53248,2.721574544906616,-0.0020470498129725456,0.07515215128660202,-0.012365203350782394
55296,2.7691967487335205,-0.001374679384753108,0.061040133237838745,-0.012439154088497162
57344,2.2666542530059814,-0.000497797504067421,0.07889008522033691,-0.012260327115654945
59392,2.9301109313964844,-0.00253999512642622,0.13664588332176208,-0.012325621210038662
61440,2.8192052841186523,-0.004966989159584045,0.09823460876941681,-0.012811927124857903
63488,2.369035243988037,-0.0025023911148309708,0.1073969304561615,-0.012072674930095673
65536,2.6427128314971924,-0.003691107966005802,0.11312851309776306,-0.012145042419433594
67584,3.731074810028076,-0.0015024389140307903,0.09378845244646072,-0.011647713370621204
69632,3.462495803833008,-0.005140592344105244,0.09367534518241882,-0.011937418021261692
71680,3.444721221923828,-0.002847472205758095,0.07513447850942612,-0.011460121721029282
73728,3.6013970375061035,0.0005052909255027771,0.08719071000814438,-0.011865397915244102
75776,3.6704487800598145,-0.004426699131727219,0.11380211263895035,-0.011440582573413849
77824,3.7025187015533447,-0.004813408479094505,0.09631350636482239,-0.01138504408299923
79872,3.8362557888031006,-0.00368531234562397,0.10403269529342651,-0.01185586117208004
81920,3.955687999725342,0.00238790363073349,0.06873776763677597,-0.011586856096982956
83968,4.450046539306641,-0.0009551066905260086,0.08463381230831146,-0.011138815432786942
86016,3.8747806549072266,-0.00016736984252929688,0.10806237161159515,-0.010963372886180878
88064,3.8826169967651367,-0.0022600973024964333,0.13656646013259888,-0.01119709387421608
90112,3.953824520111084,-0.003691289573907852,0.11227239668369293,-0.011368770152330399
92160,4.688234329223633,-0.004417775198817253,0.10393111407756805,-0.011328918859362602
94208,4.358180046081543,-0.004353494383394718,0.10164424031972885,-0.011129341088235378
96256,4.351508617401123,-0.002569960430264473,0.10198357701301575,-0.011057242751121521
98304,4.494697570800781,-0.001596624031662941,0.10887472331523895,-0.010954029858112335
100352,3.908398151397705,-0.005804373882710934,0.12535437941551208,-0.011466579511761665
102400,3.9263710975646973,-0.0021902285516262054,0.11225660145282745,-0.01148191373795271
