method,K,success_mean,success_std,hard_edges_mean,hard_edges_std,n_episodes
random,2,0.2509765625,0.12955197526257017,26.7432861328125,1.9622637112928583,64
distance,2,0.291015625,0.12656189718220637,26.6007080078125,1.5077777868435598,64
ac,2,0.2822265625,0.11692271518265214,26.3223876953125,2.019561586576418,64
