phase,mean_comm,mean_edges,mean_goal_dist,mean_dispersion,mean_nn_risk,n_episodes
early (disperse),0.07602577275511893,1.0416666666666665,0.9594443833286113,0.6136125951553836,1.9494813846593555,16
mid (approach),0.08444701950065792,1.3290441176470589,0.6704919784713317,0.5250244801590109,2.120175217442653,16
late (finish),0.07892189478939947,1.4448529411764706,0.4614791739732027,0.5521681074272184,2.0207034027313484,16
