step,episode_reward_mean,reward_goal,reward_collision,reward_guide,success_rate,collision_rate,action_alignment,path_length,loss_objective,loss_critic,loss_entropy
2048,-0.617798388004303,-0.003117565531283617,-0.001708984375,0.00158825539983809,0.0,0.001708984375,0.015882553532719612,0.8544728755950928,-0.025274895131587982,0.036267101764678955,-0.01297628041356802
4096,-1.943358063697815,-0.005172720178961754,-0.010009765625,0.00890124961733818,0.0,0.010009765625,0.0890124961733818,0.8506720066070557,-0.015944991260766983,0.12151122838258743,-0.012739783152937889
6144,-3.101907730102539,-0.012026622891426086,-0.01220703125,0.02054593712091446,0.0,0.0120849609375,0.2054593563079834,0.841721773147583,-0.009187424555420876,0.1096164658665657,-0.011932112276554108
8192,-4.297557830810547,-0.018437951803207397,-0.01513671875,0.025531357154250145,0.0,0.0147705078125,0.25531357526779175,0.8449537754058838,-0.007748302072286606,0.1814461052417755,-0.011910113506019115
10240,-3.7320380210876465,-0.025738578289747238,-0.00341796875,0.03339871019124985,0.0,0.00341796875,0.3339870572090149,0.8502020835876465,-0.01813533343374729,0.06235519051551819,-0.010935124009847641
12288,-5.798689842224121,-0.036269061267375946,-0.009033203125,0.04153503477573395,0.0,0.009033203125,0.41535037755966187,0.8595954775810242,-0.00637358333915472,0.1309659332036972,-0.009591452777385712
14336,-6.76610803604126,-0.04309459775686264,-0.009765625,0.049426060169935226,0.0,0.009521484375,0.4942605793476105,0.8555908203125,-0.008980421349406242,0.14362236857414246,-0.008616149425506592
16384,-8.139535903930664,-0.04942996799945831,-0.01416015625,0.053863443434238434,0.0,0.0137939453125,0.5386344194412231,0.8691341876983643,-0.002354203723371029,0.2091372311115265,-0.0077414801344275475
18432,-8.302882194519043,-0.059739310294389725,-0.005126953125,0.05843941867351532,0.0,0.005126953125,0.5843941569328308,0.8838843107223511,-0.004276798106729984,0.12449591606855392,-0.006917205173522234
20480,-9.158514022827148,-0.0652032345533371,-0.00634765625,0.06328354775905609,0.0,0.00634765625,0.6328354477882385,0.9034679532051086,-0.0072345733642578125,0.13022717833518982,-0.0056703705340623856
