step,episode_reward_mean,reward_goal,reward_collision,reward_guide,success_rate,collision_rate,action_alignment,path_length,loss_objective,loss_critic,loss_entropy
22528,-8.828413963317871,-0.06579814851284027,-0.003173828125,0.06563614308834076,0.0,0.003173828125,0.6563614010810852,0.8979547023773193,-0.005160940811038017,0.1297239065170288,-0.0044352347031235695
24576,-10.133481979370117,-0.07233188301324844,-0.0068359375,0.06944944709539413,0.0,0.0068359375,0.6944944262504578,0.9105005264282227,-0.003686787560582161,0.13693973422050476,-0.004236127715557814
26624,-10.98568344116211,-0.07630416750907898,-0.009521484375,0.07333378493785858,0.0,0.009521484375,0.7333378791809082,0.9345192313194275,-0.004839124158024788,0.17918655276298523,-0.002730831503868103
28672,-10.766860961914062,-0.08094227313995361,-0.003173828125,0.07270999997854233,0.0,0.003173828125,0.7271000146865845,0.919708251953125,-0.00406942144036293,0.12636400759220123,-0.004239984788000584
30720,-12.285178184509277,-0.08377091586589813,-0.01220703125,0.07405997067689896,0.0,0.01220703125,0.7405996918678284,0.9224092364311218,-0.003685185220092535,0.21542024612426758,-0.0029329489916563034
32768,-10.720332145690918,-0.0827760323882103,-0.0009765625,0.07587296515703201,0.0,0.0009765625,0.7587295770645142,0.9166820049285889,-0.004252394661307335,0.09508810937404633,-0.002004171721637249
34816,-10.741878509521484,-0.0814795196056366,-0.00244140625,0.07727168500423431,0.0,0.00244140625,0.7727168202400208,0.9269999265670776,-0.0009151492267847061,0.11241034418344498,-0.0017272850964218378
36864,-11.325847625732422,-0.08726248145103455,-0.001220703125,0.07755798101425171,0.0,0.001220703125,0.7755798101425171,0.9398536682128906,-0.004824926145374775,0.08827386051416397,-0.000485454685986042
38912,-11.834189414978027,-0.08903663605451584,-0.00341796875,0.08043710142374039,0.0,0.00341796875,0.8043709993362427,0.9297380447387695,-0.0012009255588054657,0.13013705611228943,-0.0006530147511512041
40960,-11.738995552062988,-0.08951364457607269,-0.002197265625,0.08082927018404007,0.0,0.002197265625,0.8082926869392395,0.9414041042327881,-0.006896336562931538,0.08683640509843826,-0.0009603681974112988
43008,-11.113582611083984,-0.08584830164909363,-0.0009765625,0.08054888993501663,0.0,0.0009765625,0.8054888844490051,0.9271395206451416,-0.001152177806943655,0.07353775203227997,-0.0007898055482655764
45056,-11.23365592956543,-0.08703050762414932,-0.000732421875,0.08094638586044312,0.0,0.000732421875,0.8094637989997864,0.9234510660171509,-0.004516232758760452,0.09479142725467682,-0.0002008287701755762
47104,-12.108726501464844,-0.09166973829269409,-0.0029296875,0.0827561765909195,0.0,0.0029296875,0.8275617361068726,0.9321622848510742,-0.0048097893595695496,0.0918487161397934,8.740258635953069e-05
49152,-11.719423294067383,-0.09082557260990143,-0.000732421875,0.08539120107889175,0.0,0.000732421875,0.8539119958877563,0.9344209432601929,-2.025999128818512e-05,0.07032667100429535,0.0013650048058480024
51200,-12.048534393310547,-0.09168776869773865,-0.00244140625,0.08657610416412354,0.0,0.00244140625,0.8657610416412354,0.9434322714805603,-0.001025879057124257,0.0682762861251831,0.0011649267980828881
53248,-11.897290229797363,-0.0917268693447113,-0.001220703125,0.08576305955648422,0.0,0.001220703125,0.8576306104660034,0.9393364787101746,-0.0034879036247730255,0.06674030423164368,0.0005504640867002308
55296,-12.459762573242188,-0.09343565255403519,-0.00390625,0.08651295304298401,0.0,0.00390625,0.8651295304298401,0.9452663660049438,-0.007361193187534809,0.09243447333574295,0.0015331137692555785
57344,-11.532788276672363,-0.08521710336208344,-0.0048828125,0.08704110234975815,0.0,0.0048828125,0.8704109787940979,0.9126145839691162,-0.00111464224755764,0.12940673530101776,0.00027161906473338604
59392,-12.62140941619873,-0.09250124543905258,-0.006103515625,0.08676870167255402,0.0,0.006103515625,0.8676869869232178,0.9070509672164917,-0.0058824773877859116,0.09139439463615417,0.0014881272800266743
61440,-11.942410469055176,-0.09159108996391296,-0.001708984375,0.08671240508556366,0.0,0.001708984375,0.8671239614486694,0.9097295999526978,0.0006491020321846008,0.07743895053863525,-3.926584031432867e-05
63488,-11.959413528442383,-0.08684112131595612,-0.006591796875,0.08656661957502365,0.0,0.006591796875,0.8656662106513977,0.8976694345474243,-9.96217131614685e-05,0.0927509218454361,0.0010376820573583245
65536,-11.825704574584961,-0.08823791146278381,-0.004150390625,0.0872332751750946,0.0,0.004150390625,0.8723326921463013,0.8895522356033325,7.142126560211182e-05,0.08956928551197052,0.0007833375129848719
67584,-11.983047485351562,-0.08873474597930908,-0.0048828125,0.08786274492740631,0.0,0.0048828125,0.8786274790763855,0.9046527147293091,-0.0008842498064041138,0.10195913910865784,0.0015492766397073865
69632,-11.342239379882812,-0.08592571318149567,-0.002685546875,0.08793995529413223,0.0,0.002685546875,0.8793995380401611,0.8800182342529297,-0.0005212873220443726,0.0842515155673027,0.0016643053386360407
71680,-11.869426727294922,-0.09126505255699158,-0.00146484375,0.08845058083534241,0.0,0.00146484375,0.8845058679580688,0.8882924318313599,-0.0011170599609613419,0.06325526535511017,0.002047562273219228
73728,-11.563623428344727,-0.08399314433336258,-0.00634765625,0.08958486467599869,0.0,0.00634765625,0.8958486318588257,0.8815574645996094,-0.003647971898317337,0.10254405438899994,0.003132089041173458
75776,-11.019976615905762,-0.08438459038734436,-0.001708984375,0.09039756655693054,0.0,0.001708984375,0.9039756059646606,0.8700094819068909,0.0023393090814352036,0.065519779920578,0.0023616442922502756
77824,-10.684219360351562,-0.07956421375274658,-0.00390625,0.09087826311588287,0.0,0.00390625,0.9087826013565063,0.8628931045532227,0.0031189611181616783,0.07414735108613968,0.003247853135690093
79872,-11.021627426147461,-0.08512990176677704,-0.0009765625,0.08972222357988358,0.0,0.0009765625,0.8972221612930298,0.8605889081954956,0.0016198456287384033,0.056708112359046936,0.002362420316785574
81920,-12.043231964111328,-0.08774009346961975,-0.00634765625,0.08964897692203522,0.0,0.00634765625,0.8964897394180298,0.8624789714813232,-0.00014354288578033447,0.09088462591171265,0.002185221528634429
83968,-10.82790756225586,-0.0836164653301239,-0.0009765625,0.09049798548221588,0.0,0.0009765625,0.9049797654151917,0.8604562878608704,0.0008224667981266975,0.05952183157205582,0.0026792562566697598
86016,-9.93712329864502,-0.07568065077066422,-0.001953125,0.09034787118434906,0.0,0.001953125,0.903478741645813,0.8336260914802551,-0.0004617813974618912,0.09045697003602982,0.003093942767009139
88064,-10.097728729248047,-0.07840023934841156,-0.00048828125,0.09040883928537369,0.0,0.00048828125,0.9040883779525757,0.8467086553573608,0.001208508387207985,0.06737682223320007,0.0026939152739942074
90112,-11.485971450805664,-0.08802516758441925,-0.001708984375,0.09010812640190125,0.0,0.001708984375,0.9010812640190125,0.8439081907272339,-0.0034365160390734673,0.04953159764409065,0.002829105593264103
92160,-10.063899993896484,-0.07740351557731628,-0.001220703125,0.09076383709907532,0.0,0.001220703125,0.907638430595398,0.835195004940033,-0.0032950108870863914,0.07401591539382935,0.003287685103714466
94208,-10.89758586883545,-0.08489324152469635,-0.000244140625,0.09064949303865433,0.0,0.000244140625,0.9064949750900269,0.8335201144218445,-0.0059578875079751015,0.057430751621723175,0.0032458247151225805
96256,-11.628223419189453,-0.0888923704624176,-0.001953125,0.09148363023996353,0.0,0.001953125,0.9148362874984741,0.8511368036270142,-0.0008939169347286224,0.06089123338460922,0.002833321690559387
98304,-11.531415939331055,-0.08813606202602386,-0.001953125,0.09104825556278229,0.0,0.001953125,0.9104825258255005,0.84189772605896,-0.008195650763809681,0.032432205975055695,0.003780802246183157
100352,-11.292486190795898,-0.08553700149059296,-0.002685546875,0.09124314785003662,0.0,0.002685546875,0.912431538105011,0.8380321860313416,-0.0003946390934288502,0.06125117093324661,0.003791398834437132
102400,-10.927999496459961,-0.08415429294109344,-0.001220703125,0.09122805297374725,0.0,0.001220703125,0.9122804999351501,0.8516771197319031,-0.00967572070658207,0.06508518755435944,0.003444911679252982
