source,N,budget_type,K,ratio,seed,avg_degree,avg_k_cap,degree_std,degree_error_vs_K,degree_error_vs_cap,degree_p50,degree_p95
encoder,16,fixed_k,6,,2026,1.2615625,1.2615625,0.5143859165001993,4.7384375,0.0,1.0,3.0
encoder,16,fixed_k,8,,2026,1.3803125,1.3803125,0.4756688342153078,6.6196874999999995,0.0,1.0,3.0
encoder,16,ratio,,0.05,2026,0.68109375,1.0,0.12619729329877682,,0.31890624999999995,1.0,1.0
encoder,16,ratio,,0.1,2026,0.74296875,1.0,0.1687481915412355,,0.25703125000000004,1.0,1.0
encoder,16,ratio,,0.2,2026,0.7615625,1.0,0.12288483874648655,,0.23843749999999997,1.0,1.0
encoder,16,ratio,,0.4,2026,0.811875,1.10453125,0.23987219904565846,,0.29265624999999995,1.0,2.0
encoder,32,fixed_k,1,,2026,0.7390625,0.7390625,0.08287144128860074,0.26093750000000004,0.0,1.0,1.0
encoder,32,fixed_k,2,,2026,1.149453125,1.149453125,0.170105073657385,0.850546875,0.0,1.0,2.0
encoder,32,fixed_k,4,,2026,1.331328125,1.331328125,0.2660373522698164,2.6686718750000002,0.0,1.0,3.0
encoder,32,fixed_k,6,,2026,1.34546875,1.34546875,0.2879615435886144,4.65453125,0.0,1.0,3.0
encoder,32,fixed_k,8,,2026,1.393671875,1.393671875,0.29445642078282885,6.606328125,0.0,1.0,4.0
encoder,32,ratio,,0.05,2026,0.745859375,1.0,0.0825611974135512,,0.254140625,1.0,1.0
encoder,32,ratio,,0.1,2026,0.747578125,1.0,0.0832476406736814,,0.252421875,1.0,1.0
encoder,32,ratio,,0.2,2026,0.7453125,1.001875,0.08636258503397173,,0.2565625,1.0,1.0
encoder,32,ratio,,0.4,2026,0.906484375,1.158203125,0.14186069500432236,,0.25171875,1.0,2.0
encoder,64,fixed_k,1,,2026,0.722109375,0.722109375,0.05917683831837736,0.27789062499999995,0.0,1.0,1.0
encoder,64,fixed_k,2,,2026,1.0924609375,1.0924609375,0.11768715745062668,0.9075390624999999,0.0,1.0,2.0
encoder,64,fixed_k,4,,2026,1.2620703125,1.2620703125,0.19229591946292007,2.7379296875000003,0.0,1.0,3.0
encoder,64,fixed_k,6,,2026,1.2783984375,1.2783984375,0.19849543553252325,4.7216015625,0.0,1.0,3.0
encoder,64,fixed_k,8,,2026,1.28828125,1.28828125,0.21543101555007696,6.71171875,0.0,1.0,3.0
encoder,64,ratio,,0.05,2026,0.72515625,1.0,0.061826251314166705,,0.27484375000000005,1.0,1.0
encoder,64,ratio,,0.1,2026,0.7234765625,1.0,0.061873803945984227,,0.27652343749999997,1.0,1.0
encoder,64,ratio,,0.2,2026,0.7228515625,1.001875,0.05945429275709276,,0.2790234375,1.0,1.0
encoder,64,ratio,,0.4,2026,0.87109375,1.14640625,0.10246295538662985,,0.27531250000000007,1.0,2.0
encoder,8,fixed_k,1,,3407,0.78375,0.78375,0.14070692058317533,0.21625000000000005,0.0,1.0,1.0
encoder,8,fixed_k,2,,3407,0.85375,0.85375,0.38913164546204665,1.14625,0.0,1.0,2.0
encoder,8,fixed_k,4,,3407,1.2025,1.2025,0.5518519955567798,2.7975000000000003,0.0,1.0,3.0
encoder,8,fixed_k,6,,3407,1.224375,1.224375,0.5418137220253839,4.775625,0.0,1.0,3.0
encoder,8,fixed_k,8,,3407,1.020625,1.020625,0.5934904037766743,6.979375,0.0,1.0,3.0
encoder,8,ratio,,0.05,3407,0.8184375,1.0,0.12733713556441417,,0.18156249999999996,1.0,1.0
encoder,8,ratio,,0.1,3407,0.8284375,1.0,0.1791361105242324,,0.17156249999999995,1.0,1.0
encoder,8,ratio,,0.2,3407,0.693125,1.0,0.15627374819527431,,0.306875,1.0,1.0
encoder,8,ratio,,0.4,3407,0.829375,1.101875,0.26344398716805056,,0.27249999999999996,1.0,2.0
encoder,16,fixed_k,1,,3407,0.75609375,0.75609375,0.09031182417567203,0.24390625,0.0,1.0,1.0
encoder,16,fixed_k,2,,3407,1.0415625,1.0415625,0.3575512146444898,0.9584375,0.0,1.0,2.0
encoder,16,fixed_k,4,,3407,1.15625,1.15625,0.39953586353417636,2.84375,0.0,1.0,3.0
encoder,16,fixed_k,6,,3407,1.3825,1.3825,0.5194107238015018,4.6175,0.0,1.0,3.0
encoder,16,fixed_k,8,,3407,1.3328125,1.3328125,0.3819889099748185,6.6671875,0.0,1.0,3.0
encoder,16,ratio,,0.05,3407,0.74625,1.0,0.12580056140574256,,0.25375000000000003,1.0,1.0
encoder,16,ratio,,0.1,3407,0.74890625,1.0,0.11305753772277857,,0.25109375,1.0,1.0
encoder,16,ratio,,0.2,3407,0.7584375,1.00140625,0.16294140770151092,,0.24296875000000007,1.0,1.0
encoder,16,ratio,,0.4,3407,0.87484375,1.155,0.2466770864124544,,0.28015625,1.0,2.0
encoder,32,fixed_k,1,,3407,0.75109375,0.75109375,0.08012304380412355,0.24890625,0.0,1.0,1.0
encoder,32,fixed_k,2,,3407,1.147578125,1.147578125,0.16537567835154715,0.8524218750000001,0.0,1.0,2.0
encoder,32,fixed_k,4,,3407,1.360234375,1.360234375,0.2779919691503864,2.639765625,0.0,1.0,4.0
encoder,32,fixed_k,6,,3407,1.34140625,1.34140625,0.2667977328866149,4.65859375,0.0,1.0,3.0
encoder,32,fixed_k,8,,3407,1.36859375,1.36859375,0.2910581030240139,6.6314062499999995,0.0,1.0,3.0
encoder,32,ratio,,0.05,3407,0.740234375,1.0,0.08190745867812879,,0.259765625,1.0,1.0
encoder,32,ratio,,0.1,3407,0.7425,1.0,0.08210130936836513,,0.25749999999999995,1.0,1.0
encoder,32,ratio,,0.2,3407,0.74140625,1.002109375,0.08085465716912972,,0.26070312500000004,1.0,1.0
