step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,success_rate,collision_rate,action_alignment,path_length,loss_objective,loss_critic,loss_entropy
2048,-0.309203565120697,-0.0007066686521284282,-0.001708984375,0.0,0.0,0.0,0.001708984375,0.0234566330909729,0.8549503087997437,-0.007559374440461397,0.022594157606363297,-0.013111424632370472
4096,-0.8798384666442871,0.00533329276368022,-0.01220703125,0.0,0.0,0.0,0.01220703125,0.06484703719615936,0.8447824120521545,-0.004923574160784483,0.09700699895620346,-0.013195440173149109
6144,-0.6902166604995728,0.009988539852201939,-0.015380859375,0.0,0.0,0.0,0.015380859375,0.11495040357112885,0.8360764980316162,-0.003770921379327774,0.15486302971839905,-0.013090754859149456
8192,-0.8182569742202759,0.009720650501549244,-0.01611328125,0.0,0.0,0.0,0.0159912109375,0.11785019189119339,0.8458075523376465,-0.0015839673578739166,0.13554084300994873,-0.012879116460680962
10240,0.8329129219055176,0.011145804077386856,-0.004638671875,0.0,0.0,0.0,0.004638671875,0.13645526766777039,0.8537721037864685,-0.010092492215335369,0.03825623542070389,-0.012625518254935741
12288,1.0709915161132812,0.01422649621963501,-0.005859375,0.0,0.0,0.0,0.005859375,0.14798378944396973,0.8501943349838257,-0.0005153883248567581,0.06286706030368805,-0.012760323472321033
14336,1.3353556394577026,0.015559419989585876,-0.005126953125,0.0,0.0,0.0,0.005126953125,0.1566283106803894,0.8468528389930725,-0.00534733384847641,0.04841705411672592,-0.012544987723231316
16384,1.4191304445266724,0.016213910654187202,-0.005126953125,0.0,0.0,0.0,0.0050048828125,0.14166578650474548,0.8498692512512207,-0.005421132314950228,0.04834510385990143,-0.012486156076192856
18432,1.2849469184875488,0.017362866550683975,-0.00732421875,0.0,0.0,0.0,0.0072021484375,0.1504226177930832,0.8455221652984619,-0.0026846155524253845,0.11052676290273666,-0.01232977956533432
20480,1.0510367155075073,0.017000287771224976,-0.0087890625,0.0,0.0,0.0,0.0087890625,0.1497621238231659,0.8499505519866943,-0.0038966191932559013,0.09438364207744598,-0.01243671216070652
22528,2.582149028778076,0.02090546302497387,-0.000732421875,0.0,0.0,0.0,0.000732421875,0.16516929864883423,0.8448041081428528,0.0011207014322280884,0.036238931119441986,-0.012185708619654179
24576,1.9087226390838623,0.018574006855487823,-0.003662109375,0.0,0.0,0.0,0.003662109375,0.17731398344039917,0.8434220552444458,-0.005654764361679554,0.06167300045490265,-0.011862020008265972
26624,1.5143944025039673,0.02110854908823967,-0.00927734375,0.0,0.0,0.0,0.00927734375,0.18522965908050537,0.8445960879325867,-0.005785949528217316,0.11692407727241516,-0.011734865605831146
